,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Malvada,Zé Felipe,3,17507479,-17.4%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-02-11,2022-02-17
1,2,2.0,Malvadão 3,Xamã,9,13836186,-18.9%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-02-11,2022-02-17
2,3,4.0,Vontade De Morder,Simone & Simaria & Zé Felipe,5,11742032,4.4%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-02-11,2022-02-17
3,4,3.0,Depende,Dj Guuga,9,11520995,-3.3%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-02-11,2022-02-17
4,5,11.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,31,10590067,46.1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-02-11,2022-02-17
5,6,18.0,Botadinha Saliente,MC Rogerinho,2,10087521,98.6%,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-02-11,2022-02-17
6,7,7.0,Bloqueado (Ao Vivo),Gusttavo Lima,12,9212133,-2.7%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-02-11,2022-02-17
7,8,9.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",17,9042184,4.7%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-02-11,2022-02-17
8,9,5.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,5,8232988,-14.6%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-02-11,2022-02-17
9,10,6.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,14,8045259,-15.7%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-02-11,2022-02-17
10,11,8.0,212,Chefin & Mainstreet,5,7597049,-19.7%,https://www.youtube.com/watch?v=290Q1JFInHE,2022-02-11,2022-02-17
11,12,10.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,12,7055805,-5.8%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-02-11,2022-02-17
12,13,14.0,Cabeça Branca (Live),Tierry,20,6810275,11.6%,https://www.youtube.com/watch?v=J_jJhHhYW9w,2022-02-11,2022-02-17
13,14,12.0,Parada Louca,Marcynho Sensação,14,6475396,-7.9%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2022-02-11,2022-02-17
14,15,13.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,16,6098489,-10.2%,https://www.youtube.com/watch?v=r2ma8WPRppk,2022-02-11,2022-02-17
15,16,15.0,Presepada,Marília Mendonça & Maiara & Maraisa,16,5851388,0.4%,https://www.youtube.com/watch?v=MQv__TADEGM,2022-02-11,2022-02-17
16,17,,VERMELHO,Gloria Groove,1,5396546,,https://www.youtube.com/watch?v=p4aPlYN6x1Q,2022-02-11,2022-02-17
17,18,16.0,GALOPA,PEDRO SAMPAIO,20,5188229,-9.3%,https://www.youtube.com/watch?v=mo1NcPxKfQU,2022-02-11,2022-02-17
18,19,17.0,INVEJOSO,"Distrito 23, Raffé, Chefin & Oruam",14,5118178,-10.5%,https://www.youtube.com/watch?v=79KWwlhbOD8,2022-02-11,2022-02-17
19,20,35.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,24,5087537,41.9%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-02-11,2022-02-17
20,21,84.0,Iphone Branco,Borges & Mainstreet,2,4932397,175.1%,https://www.youtube.com/watch?v=xv8NrFQqKJ8,2022-02-11,2022-02-17
21,22,,Cena de Amor,Brisa Star & Zé Vaqueiro,27,4801267,,https://www.youtube.com/watch?v=UI_VjxVrzHY,2022-02-11,2022-02-17
22,23,53.0,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,2,4779193,56.9%,https://www.youtube.com/watch?v=CJdhWgebwqA,2022-02-11,2022-02-17
23,24,19.0,Idiota (Ao Vivo),Jão,5,4673526,1.2%,https://www.youtube.com/watch?v=r2gppKSvBLE,2022-02-11,2022-02-17
24,25,24.0,Proteção de Tela (Live),Tarcísio do Acordeon,33,4559415,10.3%,https://www.youtube.com/watch?v=edjih_b_NBQ,2022-02-11,2022-02-17
25,26,,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",1,4526794,,https://www.youtube.com/watch?v=ulY5kBy2exo,2022-02-11,2022-02-17
26,27,49.0,Arranhão (Ao Vivo),Henrique & Juliano,28,4503976,46.1%,https://www.youtube.com/watch?v=2_xBCeBmaS8,2022-02-11,2022-02-17
27,28,21.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,11,4242041,-7.3%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2022-02-11,2022-02-17
28,29,,É Só Blusão da Ecko e Boné da Lacoste Vs Putaria (feat. Mc Denny) (feat. MC Denny),DJ TK,1,4132850,,https://www.youtube.com/watch?v=5qHJ6bSyPKY,2022-02-11,2022-02-17
