,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,3.0,Solteiro Forçado (Boiadeira Internacional),Ana Castela,9,11339394,27.5%,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-09-01,2023-09-07
1,2,1.0,Toca o Trompete,Felipe Amorim,7,10772251,9.7%,https://www.youtube.com/watch?v=47xUS-Pbc-U,2023-09-01,2023-09-07
2,3,2.0,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris & Dj Nk Da Serra,7,10177278,8%,https://www.youtube.com/watch?v=1ap3IyySQ2c,2023-09-01,2023-09-07
3,4,4.0,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,26,9860918,39.2%,https://www.youtube.com/watch?v=fd3PJfv7SaY,2023-09-01,2023-09-07
4,5,10.0,Dentro da Hilux,"Luan Pereira, MC Ryan SP & Mc Daniel",2,8460955,48.4%,https://www.youtube.com/watch?v=HZli8pArLSE,2023-09-01,2023-09-07
5,6,5.0,Halls na Língua,Kadu Martins,13,7351675,7.6%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-09-01,2023-09-07
6,7,6.0,Ballena,"Vulgo FK, Pedro Lotto & Veigh",8,6996014,8.4%,https://www.youtube.com/watch?v=0nHHZZRYNf4,2023-09-01,2023-09-07
7,8,9.0,Nosso Quadro,Ana Castela,31,6622577,12.2%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-09-01,2023-09-07
8,9,8.0,Erro Gostoso (Ao Vivo),Simone Mendes,32,6618439,5.8%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-09-01,2023-09-07
9,10,11.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,29,6579900,16.1%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-09-01,2023-09-07
10,11,7.0,Fode Bem,Felipe Amorim & Mc Mika,5,6520445,2.3%,https://www.youtube.com/watch?v=RviZfEsoT_k,2023-09-01,2023-09-07
11,12,12.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,26,6374790,13.9%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-09-01,2023-09-07
12,13,13.0,Quem É o Louco Entre Nós,Raphaela Santos,12,6270116,13.5%,https://www.youtube.com/watch?v=OLbaoD4db48,2023-09-01,2023-09-07
13,14,20.0,Manda um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,17,5892576,27.8%,https://www.youtube.com/watch?v=b3NsZtiiwFg,2023-09-01,2023-09-07
14,15,,Canudinho (Ao Vivo),Gusttavo Lima & Ana Castela,1,5587400,,https://www.youtube.com/watch?v=h09p0IGiKaE,2023-09-01,2023-09-07
