,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Zona De Perigo,Léo Santana,3,28987018,22.7%,https://www.youtube.com/watch?v=0cnUcoXllMM,2023-02-10,2023-02-16
1,2,2.0,Leão,Marília Mendonça,10,18971792,-1.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-02-10,2023-02-16
2,3,5.0,Coração de Gelo,WIU,11,9094462,3.5%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-02-10,2023-02-16
3,4,3.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",13,8966148,-12.5%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-02-10,2023-02-16
4,5,4.0,Facilita Aí,Zé Felipe,2,8443653,-16.5%,https://www.youtube.com/watch?v=u8PI0ASpG4U,2023-02-10,2023-02-16
5,6,6.0,Luz do Luar,Mc Tato & Dj ak beats,10,8328469,-0.8%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-02-10,2023-02-16
6,7,8.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,19,7149192,1.8%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-02-10,2023-02-16
7,8,9.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,9,6648205,3%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-02-10,2023-02-16
8,9,7.0,Felina,WIU & MC Ryan SP,21,6604453,-9.3%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-02-10,2023-02-16
9,10,24.0,Nosso Quadro,Ana Castela,2,5812259,39.1%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-02-10,2023-02-16
10,11,11.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",7,5790180,-0.2%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-02-10,2023-02-16
11,12,10.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,15,5686412,-4.1%,https://www.youtube.com/watch?v=t050lriI0_w,2023-02-10,2023-02-16
12,13,18.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,6,5662222,13.7%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-02-10,2023-02-16
13,14,16.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,9,5489579,3.8%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-02-10,2023-02-16
14,15,17.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,5,5452886,7.7%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-02-10,2023-02-16
15,16,13.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",15,5397749,-2.2%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-02-10,2023-02-16
16,17,12.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",16,5230177,-6.7%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-02-10,2023-02-16
17,18,14.0,Lá Ele,Tierry & Manoel Gomes,6,5096153,-7.3%,https://www.youtube.com/watch?v=_KaA8W_Hov8,2023-02-10,2023-02-16
18,19,20.0,Coladin (Minha Deusa),Zé Vaqueiro,11,4999248,3.9%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-02-10,2023-02-16
19,20,21.0,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,6,4964425,8%,https://www.youtube.com/watch?v=_xl7YEj7IBM,2023-02-10,2023-02-16
20,21,19.0,Namora Aí,MC Ryan SP & Mc Daniel,10,4887379,0.8%,https://www.youtube.com/watch?v=4HQect5dM-g,2023-02-10,2023-02-16
21,22,23.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,17,4731424,4.2%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2023-02-10,2023-02-16
22,23,15.0,Erro Gostoso (Ao Vivo),Simone Mendes,3,4547613,-16.5%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-02-10,2023-02-16
23,24,,"Olha, Se você não me ama",Manoel Gomes & Tierry,1,4436537,,https://www.youtube.com/watch?v=FbDplUUW8SQ,2023-02-10,2023-02-16
24,25,22.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,30,4387204,-3.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-02-10,2023-02-16
25,26,36.0,MINHA CURA,MC Cabelinho,7,4336525,24.6%,https://www.youtube.com/watch?v=har3c93pJe0,2023-02-10,2023-02-16
