,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Bandido,Zé Felipe & Mc Mari,4,11281311,-20.8%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-07-08,2022-07-14
1,2,9.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,8,10965312,61.5%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-07-08,2022-07-14
2,3,2.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,15,9708303,0.4%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-07-08,2022-07-14
3,4,4.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",6,9608489,16.8%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-07-08,2022-07-14
4,5,3.0,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,4,9528336,5%,https://www.youtube.com/watch?v=4zhowmwBCuw,2022-07-08,2022-07-14
5,6,5.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,12,8621094,7.6%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-07-08,2022-07-14
6,7,7.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,18,7721373,-0.9%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-07-08,2022-07-14
7,8,6.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,13,7348518,-8%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-07-08,2022-07-14
8,9,10.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,52,6965923,8.3%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-07-08,2022-07-14
9,10,,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,1,6586005,,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-07-08,2022-07-14
10,11,14.0,Intuição (Ao Vivo),Mari Fernandez,10,6326327,11.7%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-07-08,2022-07-14
11,12,8.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",16,6276033,-15.6%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-07-08,2022-07-14
12,13,11.0,Tu Tava Na Revoada,Wesley Safadão,8,5932928,0.2%,https://www.youtube.com/watch?v=GmlBAosY3V0,2022-07-08,2022-07-14
13,14,15.0,X1,MC Cabelinho & Dallass,16,5563338,3%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-07-08,2022-07-14
14,15,25.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,45,5260198,16.5%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-07-08,2022-07-14
15,16,13.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",20,5063763,-11%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-07-08,2022-07-14
16,17,17.0,Vampiro,"Matuê, WIU & Teto",15,4806795,-4.6%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-07-08,2022-07-14
17,18,19.0,Bloqueado (Ao Vivo),Gusttavo Lima,33,4732164,-4.9%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-07-08,2022-07-14
