,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Erro Gostoso (Ao Vivo),Simone Mendes,22,9937302,-10.4%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-06-23,2023-06-29
1,2,3.0,Tá OK,DENNIS & MC Kevin o Chris,5,9391085,12.8%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-06-23,2023-06-29
2,3,2.0,Nosso Quadro,Ana Castela,21,9160931,0.3%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-06-23,2023-06-29
3,4,6.0,Halls na Língua,Kadu Martins,3,7554544,19%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-06-23,2023-06-29
4,5,4.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,16,7387138,-3.6%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-06-23,2023-06-29
5,6,12.0,Posturado E Calmo,Léo Santana,3,7327001,36.4%,https://www.youtube.com/watch?v=FtHBS6WLsfo,2023-06-23,2023-06-29
6,7,5.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,19,7207323,-4.9%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-06-23,2023-06-29
7,8,10.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",8,6133141,13%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-06-23,2023-06-29
8,9,7.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",6,5804788,-6.6%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-06-23,2023-06-29
9,10,9.0,Pitbull Enraivado,Oh Polêmico,10,5611346,-2.9%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-06-23,2023-06-29
10,11,,Vai Novinha An An An,"--, Dyamante DJ  & --",1,5599535,,https://www.youtube.com/watch?v=MB5bJUUywKw,2023-06-23,2023-06-29
11,12,8.0,Leão,Marília Mendonça,29,5538163,-4.8%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-06-23,2023-06-29
12,13,51.0,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho & DJ 900,2,5534627,116.4%,https://www.youtube.com/watch?v=1DGsclIrgBE,2023-06-23,2023-06-29
13,14,13.0,Me Atraiu (Ao Vivo),Gabriela Rocha,21,5077249,1.6%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-06-23,2023-06-29
14,15,,Funk Rave,Anitta,1,5029486,,https://www.youtube.com/watch?v=SmpNmsuNA2E,2023-06-23,2023-06-29
15,16,18.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,18,4829437,10.2%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-06-23,2023-06-29
16,17,17.0,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",6,4746516,1.7%,https://www.youtube.com/watch?v=4Qta7cMSXc4,2023-06-23,2023-06-29
17,18,11.0,Cartão Black,MC Caverinha & KayBlack,7,4740493,-11.8%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-06-23,2023-06-29
18,19,15.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,24,4727391,-1.6%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-06-23,2023-06-29
19,20,16.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,11,4364097,-9.2%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-06-23,2023-06-29
20,21,22.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",34,4312198,16.3%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-06-23,2023-06-29
21,22,27.0,Coladin (Minha Deusa),Zé Vaqueiro,30,4236707,20.2%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-06-23,2023-06-29
22,23,21.0,Deixa,Maria Marçal,14,3994973,4.3%,https://www.youtube.com/watch?v=93TXfW3MT4o,2023-06-23,2023-06-29
