,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,6.0,Toca o Trompete,Felipe Amorim,4,9810103,21.4%,https://www.youtube.com/watch?v=47xUS-Pbc-U,2023-08-11,2023-08-17
1,2,3.0,Solteiro Forçado (Boiadeira Internacional),Ana Castela,6,9029563,1.1%,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-08-11,2023-08-17
2,3,2.0,Halls na Língua,Kadu Martins,10,8878884,-6.9%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-08-11,2023-08-17
3,4,1.0,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris & Dj Nk Da Serra,4,8024628,-22%,https://www.youtube.com/watch?v=1ap3IyySQ2c,2023-08-11,2023-08-17
4,5,4.0,Ballena,"Vulgo FK, Pedro Lotto & Veigh",5,7710762,-12.8%,https://www.youtube.com/watch?v=0nHHZZRYNf4,2023-08-11,2023-08-17
5,6,8.0,Nosso Quadro,Ana Castela,28,7367977,-0.1%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-08-11,2023-08-17
6,7,7.0,Erro Gostoso (Ao Vivo),Simone Mendes,29,7196481,-2.8%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-08-11,2023-08-17
7,8,10.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,23,6881470,-3.4%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-08-11,2023-08-17
8,9,11.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,26,6534626,-7.2%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-08-11,2023-08-17
9,10,31.0,Fode Bem,Felipe Amorim & Mc Mika,2,6449135,49.1%,https://www.youtube.com/watch?v=RviZfEsoT_k,2023-08-11,2023-08-17
10,11,9.0,Vem Morenin,Neno No Beat & Mc Rica,4,6415569,-10.2%,https://www.youtube.com/watch?v=xAIeAgcbhRQ,2023-08-11,2023-08-17
11,12,12.0,MOLETOM,Luan Pereira & Gustavo Mioto,7,6415450,-4.8%,https://www.youtube.com/watch?v=P4E831Xqs1c,2023-08-11,2023-08-17
12,13,5.0,Tá OK,DENNIS & MC Kevin o Chris,12,6334677,-22.6%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-08-11,2023-08-17
13,14,13.0,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho & DJ 900,9,5597473,-13.3%,https://www.youtube.com/watch?v=1DGsclIrgBE,2023-08-11,2023-08-17
14,15,14.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",13,5405623,-10.7%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-08-11,2023-08-17
15,16,15.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",15,5364239,-8.1%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-08-11,2023-08-17
16,17,17.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,18,5360013,0.1%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-08-11,2023-08-17
17,18,28.0,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,23,5273699,15.7%,https://www.youtube.com/watch?v=fd3PJfv7SaY,2023-08-11,2023-08-17
18,19,20.0,Quem É o Louco Entre Nós,Raphaela Santos,9,5201740,3%,https://www.youtube.com/watch?v=OLbaoD4db48,2023-08-11,2023-08-17
19,20,18.0,Leão,Marília Mendonça,36,5132154,-2.4%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-08-11,2023-08-17
20,21,16.0,Me Atraiu (Ao Vivo),Gabriela Rocha,28,5001635,-10.3%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-08-11,2023-08-17
21,22,26.0,Manda um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,14,4954868,7.2%,https://www.youtube.com/watch?v=b3NsZtiiwFg,2023-08-11,2023-08-17
22,23,,A Cara do Crime 4 (Acendo a Flor) (feat. Bielzin & Oruam),"Mc Poze do Rodo, MC Cabelinho, MC Ryan SP, Bielzin, Oruam & Portugal No Beat",1,4865098,,https://www.youtube.com/watch?v=N6Rao_x2cJc,2023-08-11,2023-08-17
23,24,21.0,01 Não É 02,"Mc Paiva ZS, Love Funk & Dj ak beats",8,4822377,-4.5%,https://www.youtube.com/watch?v=F1r31jw_HdY,2023-08-11,2023-08-17
24,25,27.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,25,4815776,4.2%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-08-11,2023-08-17
25,26,22.0,Barulho Do Foguete (Ao Vivo),Zé Neto & Cristiano,7,4812425,-1%,https://www.youtube.com/watch?v=7t5mi3M_lAY,2023-08-11,2023-08-17
26,27,24.0,Deixa,Maria Marçal,21,4670075,-3.3%,https://www.youtube.com/watch?v=93TXfW3MT4o,2023-08-11,2023-08-17
27,28,19.0,"Banco do Carona (feat. Gabb MC, MC Joãozinho VT, MC Marks, MC Vine7 & MC Robs)","MC Don Juan, Mc Kako & DJ BOY",18,4598619,-10.3%,https://www.youtube.com/watch?v=Uxtgz1FU3XA,2023-08-11,2023-08-17
28,29,23.0,Posturado E Calmo,Léo Santana,10,4481361,-7.3%,https://www.youtube.com/watch?v=FtHBS6WLsfo,2023-08-11,2023-08-17
29,30,25.0,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",13,4234550,-8.5%,https://www.youtube.com/watch?v=4Qta7cMSXc4,2023-08-11,2023-08-17
30,31,32.0,Eu Sou Teu Pai (Ao Vivo),Valesca Mayssa,8,4188837,2.9%,https://www.youtube.com/watch?v=kNJPalON82E,2023-08-11,2023-08-17
31,32,30.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,35,4146646,-4.1%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-08-11,2023-08-17
32,33,,Campo de Morango,Luísa Sonza,1,3910009,,https://www.youtube.com/watch?v=CF8L6ZYIgPo,2023-08-11,2023-08-17
33,34,56.0,Barbie de Chapéu,Melody & Paula Guilherme,3,3825800,52.3%,https://www.youtube.com/watch?v=7O-1FbDEI9U,2023-08-11,2023-08-17
34,35,33.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,31,3704578,-5.5%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-08-11,2023-08-17
35,36,29.0,Novidade na Área,Mc Livinho,8,3691976,-18.1%,https://www.youtube.com/watch?v=8zWuVDqmCEQ,2023-08-11,2023-08-17
36,37,35.0,Pitbull Enraivado,Oh Polêmico,17,3514819,-8.6%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-08-11,2023-08-17
37,38,36.0,Chorei na Vaquejada,Eric Land & Tarcísio do Acordeon,11,3405951,-10.5%,https://www.youtube.com/watch?v=bydRD0taXIY,2023-08-11,2023-08-17
38,39,38.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,22,3352397,-4.2%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-08-11,2023-08-17
39,40,34.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",41,3263667,-15.9%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-08-11,2023-08-17
40,41,40.0,Um Mês E Pouco (Ao Vivo),Zé Neto & Cristiano,8,3238177,-1%,https://www.youtube.com/watch?v=IFdMqOi5tkU,2023-08-11,2023-08-17
41,42,46.0,Do Seu Lado,"Chefin, Oruam, Mainstreet & Ajaxx",2,3091491,3.5%,https://www.youtube.com/watch?v=s8EnhrR9Hxs,2023-08-11,2023-08-17
42,43,44.0,Narcisista (Ao Vivo),Maiara & Maraisa,5,3038655,0.1%,https://www.youtube.com/watch?v=JvqBpWtoLqk,2023-08-11,2023-08-17
43,44,42.0,Bondade de Deus (Ao Vivo),Isaías Saad,28,2890835,-6.3%,https://www.youtube.com/watch?v=mZ9yZYo9Mmk,2023-08-11,2023-08-17
44,45,43.0,Jeová Jireh,Aline Barros,17,2857623,-7%,https://www.youtube.com/watch?v=YyFd_dXy494,2023-08-11,2023-08-17
45,46,41.0,"Love, Love",Melody & Naldo Benny,9,2791178,-12.9%,https://www.youtube.com/watch?v=b_AoQ0z3RYM,2023-08-11,2023-08-17
46,47,45.0,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,19,2756994,-9.2%,https://www.youtube.com/watch?v=uvbKI8Bc9dA,2023-08-11,2023-08-17
47,48,39.0,Mas Existe um Lugar,"cryzin, Kaio Viana & Noemi Leal",21,2719058,-19.7%,https://www.youtube.com/watch?v=pdMNd_FMzTM,2023-08-11,2023-08-17
48,49,47.0,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",20,2665887,-8.2%,https://www.youtube.com/watch?v=0lgAIjua6pA,2023-08-11,2023-08-17
49,50,,Me Bloqueia (Ao Vivo),Zé Neto & Cristiano,21,2651622,,https://www.youtube.com/watch?v=_I6rcvzXUE0,2023-08-11,2023-08-17
50,51,51.0,"Pezin no Chão (feat. Mc Piedro, MC Tuto & MC Paulin da Capital)","Dj GM, MC Lele JP, MC Marks, Mc Piedro, MC Tuto & MC Paulin da Capital",8,2553896,-7.9%,https://www.youtube.com/watch?v=XIvWeDyIaZE,2023-08-11,2023-08-17
51,52,62.0,Mala dos Porta-Mala (Ao Vivo),Gusttavo Lima & Matheus & Kauan,5,2553733,9.4%,https://www.youtube.com/watch?v=3zNabdrryYM,2023-08-11,2023-08-17
