,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Erro Gostoso (Ao Vivo),Simone Mendes,12,11436996,2.6%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-04-14,2023-04-20
1,2,1.0,Nosso Quadro,Ana Castela,11,10691635,-6.4%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-04-14,2023-04-20
2,3,3.0,Lovezinho (Sexy Version) (Remix) (feat. DJ Garcez),Treyce,10,8945557,-2.7%,https://www.youtube.com/watch?v=,2023-04-14,2023-04-20
3,4,6.0,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,2,8760127,28.7%,https://www.youtube.com/watch?v=uvbKI8Bc9dA,2023-04-14,2023-04-20
4,5,4.0,Vacilão,"Zé Felipe, Igow & Wesley Safadão",5,7289799,-18%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q,2023-04-14,2023-04-20
5,6,5.0,Leão,Marília Mendonça,19,7127987,-13.1%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-04-14,2023-04-20
6,7,8.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,14,6248953,-4.2%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-04-14,2023-04-20
7,8,13.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,9,6195406,9.5%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-04-14,2023-04-20
8,9,7.0,085 (Ao Vivo),MC Rogerinho,8,6156872,-9.3%,https://www.youtube.com/watch?v=LpHfPPqjUOk,2023-04-14,2023-04-20
9,10,14.0,Me Atraiu (Ao Vivo),Gabriela Rocha,11,5870757,6.1%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-04-14,2023-04-20
10,11,15.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,5,5665324,6.1%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-04-14,2023-04-20
11,12,11.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,18,5602486,-1.4%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-04-14,2023-04-20
12,13,9.0,Coração de Gelo,WIU,20,5513243,-11%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-04-14,2023-04-20
13,14,38.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,6,5504340,62.6%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-04-14,2023-04-20
14,15,16.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",24,5409754,2.4%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-04-14,2023-04-20
15,16,10.0,Mas Existe um Lugar,"cryzin, Kaio Viana & Noemi Leal",4,4928695,-18.8%,https://www.youtube.com/watch?v=pdMNd_FMzTM,2023-04-14,2023-04-20
16,17,17.0,MINHA CURA,MC Cabelinho,16,4639320,-6.3%,https://www.youtube.com/watch?v=har3c93pJe0,2023-04-14,2023-04-20
17,18,,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,1,4519624,,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-04-14,2023-04-20
18,19,29.0,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",3,4365529,15.1%,https://www.youtube.com/watch?v=0lgAIjua6pA,2023-04-14,2023-04-20
19,20,18.0,Coladin (Minha Deusa),Zé Vaqueiro,20,4257549,-7%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-04-14,2023-04-20
20,21,23.0,Aquecimento Senta Senta Suave,MC Kevin o Chris & BUARQUE,6,4106542,-1.8%,https://www.youtube.com/watch?v=GKNWwEtf-Zc,2023-04-14,2023-04-20
21,22,19.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,15,4091960,-9.9%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-04-14,2023-04-20
22,23,26.0,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,11,4054508,-1.6%,https://www.youtube.com/watch?v=OO1nHL70qEE,2023-04-14,2023-04-20
23,24,21.0,Sem Aliança no Dedo,MC Xenon,10,4050177,-8%,https://www.youtube.com/watch?v=eOTJtXleRcE,2023-04-14,2023-04-20
