,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Nosso Quadro,Ana Castela,16,12874342,10.7%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-05-19,2023-05-25
1,2,2.0,Erro Gostoso (Ao Vivo),Simone Mendes,17,10327428,7.3%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-05-19,2023-05-25
2,3,3.0,Cartão Black,MC Caverinha & KayBlack,2,9121348,15.3%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-05-19,2023-05-25
3,4,4.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,11,9044412,29.2%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-05-19,2023-05-25
4,5,5.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,14,8473086,22.8%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-05-19,2023-05-25
5,6,8.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,10,6776620,14.9%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-05-19,2023-05-25
6,7,7.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,6,6380555,7.4%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-05-19,2023-05-25
7,8,9.0,Leão,Marília Mendonça,24,6302174,7.2%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-05-19,2023-05-25
8,9,13.0,Pitbull Enraivado,Oh Polêmico,5,6146727,24.3%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-05-19,2023-05-25
9,10,10.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,19,5987397,4.5%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-05-19,2023-05-25
10,11,14.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,23,5948135,26.9%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-05-19,2023-05-25
11,12,11.0,Me Atraiu (Ao Vivo),Gabriela Rocha,16,5780168,3.6%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-05-19,2023-05-25
