,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,10,15399089,11.6%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-07-22,2022-07-28
1,2,8.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,3,11272736,43.2%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-07-22,2022-07-28
2,3,3.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",8,10361293,-1.4%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-07-22,2022-07-28
3,4,14.0,CACHORRINHAS,Luísa Sonza,2,10174407,88.7%,https://www.youtube.com/watch?v=__ur8Ykcivw,2022-07-22,2022-07-28
4,5,,Te Amo Demais,Marília Mendonça,1,9303067,,https://www.youtube.com/watch?v=P2qvD7LRBAo,2022-07-22,2022-07-28
5,6,2.0,Bandido,Zé Felipe & Mc Mari,6,9259418,-13.7%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-07-22,2022-07-28
6,7,49.0,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",2,9151802,207.4%,https://www.youtube.com/watch?v=_BfZRdFFdE8,2022-07-22,2022-07-28
7,8,4.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,17,9022530,-6.4%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-07-22,2022-07-28
8,9,5.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,14,8495180,-2.1%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-07-22,2022-07-28
9,10,6.0,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,6,7334041,-11.4%,https://www.youtube.com/watch?v=4zhowmwBCuw,2022-07-22,2022-07-28
10,11,7.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,3,7127004,-10.1%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-07-22,2022-07-28
11,12,11.0,Intuição (Ao Vivo),Mari Fernandez,12,6545005,5.5%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-07-22,2022-07-28
12,13,15.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",4,6384466,23.7%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-07-22,2022-07-28
13,14,10.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,15,5937343,-5.3%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-07-22,2022-07-28
14,15,12.0,X1,MC Cabelinho & Dallass,18,5936396,-0.5%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-07-22,2022-07-28
15,16,13.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",18,5665007,-4.7%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-07-22,2022-07-28
16,17,21.0,Incendeia,MC Kevin o Chris,3,5579082,22.8%,https://www.youtube.com/watch?v=fFeQDbY741I,2022-07-22,2022-07-28
17,18,9.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,20,5544258,-14.5%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-07-22,2022-07-28
18,19,18.0,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",15,4638260,-4.1%,https://www.youtube.com/watch?v=L2_xh-r10OI,2022-07-22,2022-07-28
19,20,19.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,47,4631125,-4.2%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-07-22,2022-07-28
20,21,,Não Era Pra Ser Assim,Marília Mendonça,1,4483061,,https://www.youtube.com/watch?v=1_cXtpgG-EQ,2022-07-22,2022-07-28
21,22,16.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",22,4373079,-12.8%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-07-22,2022-07-28
22,23,41.0,Vento Forte,MC Jacaré & DJ TK,2,4357773,39.4%,https://www.youtube.com/watch?v=e6yUmOtchLE,2022-07-22,2022-07-28
23,24,22.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,28,4321886,-2.8%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-07-22,2022-07-28
24,25,17.0,Tu Tava Na Revoada,Wesley Safadão,10,4283769,-13.1%,https://www.youtube.com/watch?v=GmlBAosY3V0,2022-07-22,2022-07-28
25,26,20.0,Bloqueado (Ao Vivo),Gusttavo Lima,35,4276110,-7.4%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-07-22,2022-07-28
26,27,23.0,Malvada,Zé Felipe,26,4100390,-6.7%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-07-22,2022-07-28
27,28,29.0,Seu Perfil (Ao Vivo),Henrique & Juliano,26,4039585,6.1%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-07-22,2022-07-28
28,29,26.0,O Fim é Triste (feat. DJ BOY),MC Hariel,6,3949542,-1.6%,https://www.youtube.com/watch?v=BZ-9iYlDpXc,2022-07-22,2022-07-28
29,30,35.0,Virando o Olhinho,Kadu Martins,4,3852063,9.1%,https://www.youtube.com/watch?v=7njueXmgObo,2022-07-22,2022-07-28
30,31,30.0,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,11,3751860,-1.1%,https://www.youtube.com/watch?v=5EuvLJPOuKo,2022-07-22,2022-07-28
31,32,25.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",17,3721150,-11.3%,https://www.youtube.com/watch?v=273pasBKH18,2022-07-22,2022-07-28
32,33,24.0,Vampiro,"Matuê, WIU & Teto",17,3645536,-15.4%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-07-22,2022-07-28
33,34,28.0,Fim de Semana no Rio,Teto,18,3609078,-8.2%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-07-22,2022-07-28
34,35,31.0,Me Chama de Amor (feat. Mc Treyce) (feat. Mc Treyce),O Tubarão,16,3605275,-3.4%,https://www.youtube.com/watch?v=J9AfRmtdqGs,2022-07-22,2022-07-28
35,36,32.0,No Ouvidinho,Felipe Amorim,18,3522537,-5.3%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-07-22,2022-07-28
36,37,,Sendo Assim Muito Estranho (cuida Bem de Mim),Marília Mendonça,1,3494730,,https://www.youtube.com/watch?v=6feNceQ_EZc,2022-07-22,2022-07-28
37,38,47.0,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,15,3457023,14.3%,https://www.youtube.com/watch?v=yrQuMSYsYZQ,2022-07-22,2022-07-28
38,39,38.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",5,3453318,1.6%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-07-22,2022-07-28
39,40,27.0,Pras Novinha (feat. DJ Pedrin),"Mc Livinho, Dj LK da Escócia & DJ Breno",7,3443349,-13.3%,https://www.youtube.com/watch?v=vGBJmgZSeRc,2022-07-22,2022-07-28
40,41,37.0,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,13,3423894,-0.4%,https://www.youtube.com/watch?v=OnYr3TisCcg,2022-07-22,2022-07-28
41,42,43.0,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",10,3339327,8.6%,https://www.youtube.com/watch?v=wumB0Qs2YT4,2022-07-22,2022-07-28
42,43,57.0,Sentadinha Diferente,Dyamante DJ  & MC GW,3,3293742,23.6%,https://www.youtube.com/watch?v=GQ78UQAgLCI,2022-07-22,2022-07-28
43,44,36.0,Molhando O Volante (Live),Jorge & Mateus,33,3241913,-6.8%,https://www.youtube.com/watch?v=_SjTFD9qVuE,2022-07-22,2022-07-28
44,45,40.0,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,8,3226349,2.1%,https://www.youtube.com/watch?v=y3FdInN6n48,2022-07-22,2022-07-28
45,46,,Eu Quero Recair (Ao Vivo),Mari Fernandez & Simone & Simaria,1,3203259,,https://www.youtube.com/watch?v=b_9yVWUJzS0,2022-07-22,2022-07-28
46,47,33.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,25,3172630,-12.9%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-07-22,2022-07-28
47,48,42.0,Quem Vale Menos (Ao Vivo),Mari Fernandez,13,3032568,-2.7%,https://www.youtube.com/watch?v=HVJWX1B9_lo,2022-07-22,2022-07-28
48,49,45.0,Para de Me Assistir (Ao Vivo),Mari Fernandez,6,2997863,-1.8%,https://www.youtube.com/watch?v=n7xMP3Nwr6I,2022-07-22,2022-07-28
49,50,54.0,Escolhe o Bandido,"MC CH da Z.O, MC Myres, Danado do Recife, eoo kendy & Deyvinho PL",3,2975797,5.5%,https://www.youtube.com/watch?v=OaAqhlU6VjY,2022-07-22,2022-07-28
50,51,50.0,A Cara do Crime 3 (Brinde à Liberdade),"Mc Poze do Rodo, Orochi, Filipe Ret, Mainstreet & Bielzin",9,2800601,-5.2%,https://www.youtube.com/watch?v=3aKrgl3-Unc,2022-07-22,2022-07-28
51,52,51.0,"Set do G15: A Revoada Começou (feat. MC Ryan SP, Gaab, MC Don Juan, JottaPê & MC Menor da VG)","MC G15, Mc Davi & MC Pedrinho",11,2780964,-5%,https://www.youtube.com/watch?v=1vXn6pl40bo,2022-07-22,2022-07-28
52,53,53.0,Dengo (Ao Vivo),João Gomes,12,2677698,-7.3%,https://www.youtube.com/watch?v=mqYjyQG11GQ,2022-07-22,2022-07-28
53,54,52.0,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",16,2585828,-11.6%,https://www.youtube.com/watch?v=x4QSi_Eb-c8,2022-07-22,2022-07-28
54,55,,"Te Amo, O Que Mais Posso Dizer",Marília Mendonça,1,2573398,,https://www.youtube.com/watch?v=YHUKk5UC494,2022-07-22,2022-07-28
55,56,64.0,Festa de Vagabundo,Mc Paiva ZS & Kotim,7,2544490,9%,https://www.youtube.com/watch?v=8xxXjzRlcjQ,2022-07-22,2022-07-28
56,57,58.0,Meu Número (Ao Vivo),Hugo & Guilherme & Jorge & Mateus,15,2480556,-6.9%,https://www.youtube.com/watch?v=SClzaJuWou4,2022-07-22,2022-07-28
57,58,75.0,7 Meiota,"Filipe Ret, MC Cabelinho & MC Maneirinho",5,2455900,22.3%,https://www.youtube.com/watch?v=qeFT0_8LIQw,2022-07-22,2022-07-28
58,59,39.0,A Nova Era,"Chefin Oficial, Bren Oficial, Racovi Oficial & Mainstreet",3,2453439,-26.6%,https://www.youtube.com/watch?v=-gysEtnzYEw,2022-07-22,2022-07-28
59,60,65.0,Joga a Bunda,MC Rogerinho,3,2412777,3.8%,https://www.youtube.com/watch?v=FqdDdGrB4tY,2022-07-22,2022-07-28
