,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,9,8828085,4.3%,https://www.youtube.com/watch?v=af8fdbaB8JY,2022-11-18,2022-11-24
1,2,1.0,Felina,WIU & MC Ryan SP,9,8819403,-0.2%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2022-11-18,2022-11-24
2,3,4.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",4,7942746,7.2%,https://www.youtube.com/watch?v=24lfgigKHqQ,2022-11-18,2022-11-24
3,4,,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",1,7907424,,https://www.youtube.com/watch?v=5fI3cK7iDeg,2022-11-18,2022-11-24
4,5,3.0,Alemãozin,Oruam,8,7248517,-11%,https://www.youtube.com/watch?v=rALK230exU0,2022-11-18,2022-11-24
5,6,16.0,Evoque Prata (Sped Up),Lali DJ,3,7058142,38.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2022-11-18,2022-11-24
6,7,14.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,3,6740306,30.8%,https://www.youtube.com/watch?v=t050lriI0_w,2022-11-18,2022-11-24
7,8,8.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,18,6629101,6.6%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-11-18,2022-11-24
8,9,6.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,7,6376671,-6.9%,https://www.youtube.com/watch?v=uBc1wkTMywM,2022-11-18,2022-11-24
9,10,,"Revoada do Tubarão 3 (feat. MC Joãozinho VT, MD Chefe, Mc Daniel, Mc Davi, Mc IG, Mc Kevin, Mc Paiva ZS & POCAH)","MC Ryan SP, MC Hariel & MC Don Juan",1,6204402,,https://www.youtube.com/watch?v=DeVsfHet-uA,2022-11-18,2022-11-24
10,11,5.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,9,5800357,-18.5%,https://www.youtube.com/watch?v=J3H--06Xw6g,2022-11-18,2022-11-24
11,12,9.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",21,5723064,-7.9%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-11-18,2022-11-24
12,13,11.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,27,5114180,-8.8%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-11-18,2022-11-24
13,14,20.0,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",10,4640517,1.1%,https://www.youtube.com/watch?v=1CIIIv9dfzg,2022-11-18,2022-11-24
14,15,7.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,20,4581447,-30.8%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-11-18,2022-11-24
15,16,17.0,Te Love (Ao Vivo),Kevi Jonny,12,4450990,-9.2%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2022-11-18,2022-11-24
16,17,15.0,X1,MC Cabelinho & Dallass,35,4427869,-13.7%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-11-18,2022-11-24
17,18,10.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,45,4322779,-27.3%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-11-18,2022-11-24
18,19,12.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,20,4300331,-20.2%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-11-18,2022-11-24
19,20,18.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,5,4294172,-11.5%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2022-11-18,2022-11-24
20,21,13.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,31,4259634,-17.5%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-11-18,2022-11-24
21,22,24.0,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",6,3887913,-0.9%,https://www.youtube.com/watch?v=tBdx1b40rfU,2022-11-18,2022-11-24
22,23,22.0,NÉ SEGREDO,MC Cabelinho,10,3645330,-9.5%,https://www.youtube.com/watch?v=GqLrlHHeww0,2022-11-18,2022-11-24
23,24,19.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,18,3635983,-21.5%,https://www.youtube.com/watch?v=pPxs52_MVIU,2022-11-18,2022-11-24
24,25,23.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,34,3579836,-10.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-11-18,2022-11-24
25,26,,Waka Waka (This Time for Africa),Shakira,1,3256496,,https://www.youtube.com/watch?v=pRpeEdMmmQ0,2022-11-18,2022-11-24
