,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Lovezinho (Sexy Version) (Remix) (feat. DJ Garcez),Treyce,4,15341961,9.5%,https://www.youtube.com/watch?v=,2023-03-03,2023-03-09
1,2,3.0,Leão,Marília Mendonça,13,13002886,1.5%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-03-03,2023-03-09
2,3,1.0,Zona De Perigo,Léo Santana,6,11797600,-19.2%,https://www.youtube.com/watch?v=0cnUcoXllMM,2023-03-03,2023-03-09
3,4,4.0,Nosso Quadro,Ana Castela,5,11060484,38.6%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-03-03,2023-03-09
4,5,38.0,Noite Fria,"Mc IG, MC Pipokinha & DJ Glenner",2,8400175,175.2%,https://www.youtube.com/watch?v=lKNdzn_VL0k,2023-03-03,2023-03-09
5,6,5.0,Coração de Gelo,WIU,14,7745805,-1%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-03-03,2023-03-09
6,7,25.0,085 (Ao Vivo),MC Rogerinho,2,7156367,79.6%,https://www.youtube.com/watch?v=LpHfPPqjUOk,2023-03-03,2023-03-09
7,8,6.0,Luz do Luar,Mc Tato & Dj ak beats,13,6497359,-2.1%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-03-03,2023-03-09
8,9,7.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",16,5924776,-5.4%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-03-03,2023-03-09
9,10,8.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,9,5667378,-2.2%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-03-03,2023-03-09
10,11,9.0,Felina,WIU & MC Ryan SP,24,5401885,-1.3%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-03-03,2023-03-09
11,12,12.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,12,5229613,3.3%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-03-03,2023-03-09
12,13,13.0,MINHA CURA,MC Cabelinho,10,5136024,3.6%,https://www.youtube.com/watch?v=har3c93pJe0,2023-03-03,2023-03-09
13,14,15.0,Coladin (Minha Deusa),Zé Vaqueiro,14,5097192,5.9%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-03-03,2023-03-09
14,15,16.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,8,5057449,6.5%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-03-03,2023-03-09
15,16,10.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,22,4754687,-12.7%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-03-03,2023-03-09
16,17,17.0,Sem Aliança no Dedo,MC Xenon,4,4713791,7.4%,https://www.youtube.com/watch?v=eOTJtXleRcE,2023-03-03,2023-03-09
17,18,24.0,Erro Gostoso (Ao Vivo),Simone Mendes,6,4651967,15.8%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-03-03,2023-03-09
18,19,11.0,Facilita Aí,Zé Felipe,5,4531708,-10.6%,https://www.youtube.com/watch?v=u8PI0ASpG4U,2023-03-03,2023-03-09
19,20,57.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",18,4466388,85.4%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-03-03,2023-03-09
20,21,14.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,12,4427596,-8.7%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-03-03,2023-03-09
21,22,26.0,"Bota na Pipokinha (feat. DJ FELYPINHO 013, DJ Pablo RB & Noguera DJ)",MC Pipokinha,9,4385095,13%,https://www.youtube.com/watch?v=vSkW7eHyjFk,2023-03-03,2023-03-09
22,23,22.0,X1,MC Cabelinho & Dallass,50,4340742,5.3%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2023-03-03,2023-03-09
