,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,44.0,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",2,12936451,415.3%,https://www.youtube.com/watch?v=69-jnA4QLSM,2022-09-23,2022-09-29
1,2,1.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",13,8582922,-11.3%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-09-23,2022-09-29
2,3,3.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,12,7915542,-1%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-09-23,2022-09-29
3,4,2.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,19,7400982,-10.9%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-09-23,2022-09-29
4,5,4.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,12,6636115,-1.9%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-09-23,2022-09-29
5,6,7.0,Te Love (Ao Vivo),Kevi Jonny,4,6484995,8.8%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2022-09-23,2022-09-29
6,7,5.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,26,6177356,-6.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-09-23,2022-09-29
7,8,8.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,10,5955507,1.6%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-09-23,2022-09-29
8,9,9.0,X1,MC Cabelinho & Dallass,27,5668463,-2.5%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-09-23,2022-09-29
9,10,11.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",17,5274436,-7.5%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-09-23,2022-09-29
10,11,6.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,23,5203588,-17.3%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-09-23,2022-09-29
11,12,12.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,37,5148455,-5.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-09-23,2022-09-29
12,13,13.0,Set Wesley Alemão,"MC Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",4,4814437,-6.1%,https://www.youtube.com/watch?v=,2022-09-23,2022-09-29
13,14,14.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",14,4527791,-0.8%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-09-23,2022-09-29
14,15,15.0,Gostosinha é Ela,Felipe Amorim,10,4209586,-7.3%,https://www.youtube.com/watch?v=zSRjeUpQUwI,2022-09-23,2022-09-29
15,16,16.0,Intuição (Ao Vivo),Mari Fernandez,21,4183736,-6.8%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-09-23,2022-09-29
16,17,21.0,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",4,4138755,24.3%,https://www.youtube.com/watch?v=oc0wsia4b3E,2022-09-23,2022-09-29
17,18,18.0,Seu Perfil (Ao Vivo),Henrique & Juliano,35,4087404,1%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-09-23,2022-09-29
18,19,17.0,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",9,3922328,-5.2%,https://www.youtube.com/watch?v=thfYx-W63ws,2022-09-23,2022-09-29
19,20,58.0,NÉ SEGREDO,MC Cabelinho,2,3844485,69.9%,https://www.youtube.com/watch?v=GqLrlHHeww0,2022-09-23,2022-09-29
20,21,,Felina,WIU & MC Ryan SP,1,3810264,,https://www.youtube.com/watch?v=wFBp_PHXrf4,2022-09-23,2022-09-29
21,22,20.0,Metflix,"Mc Poze do Rodo, Mainstreet, Ajaxx & --",11,3308324,-1.3%,https://www.youtube.com/watch?v=_BfZRdFFdE8,2022-09-23,2022-09-29
22,23,24.0,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",19,3210143,0.5%,https://www.youtube.com/watch?v=wumB0Qs2YT4,2022-09-23,2022-09-29
23,24,19.0,Bandido,Zé Felipe & Mc Mari,15,3127739,-12%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-09-23,2022-09-29
24,25,29.0,Tropa do Mais Novo,"Chefin, Vulgo FK, Mainstreet & Ajaxx",2,3120245,3.4%,https://www.youtube.com/watch?v=Ww056PGMT8Y,2022-09-23,2022-09-29
25,26,27.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",27,3007633,-3.3%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-09-23,2022-09-29
26,27,25.0,Bloqueado (Ao Vivo),Gusttavo Lima,44,2989866,-5.6%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-09-23,2022-09-29
27,28,23.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,29,2929225,-10.9%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-09-23,2022-09-29
28,29,30.0,Te Amo Demais,Marília Mendonça,10,2889236,-3.9%,https://www.youtube.com/watch?v=P2qvD7LRBAo,2022-09-23,2022-09-29
29,30,22.0,A Culpa É Tua Você Falou pra Fulana,Selminho DJ & MC Durrony,6,2885931,-13.2%,https://www.youtube.com/watch?v=bj15pZE_63A,2022-09-23,2022-09-29
30,31,31.0,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,10,2851894,-3.2%,https://www.youtube.com/watch?v=MBg5g2g3okU,2022-09-23,2022-09-29
31,32,36.0,Vizão de Cria 2,"Caio Luccas, Dallass, Tz da Coronel, PJ HOUDINI, Thiago Anezzi, NADAMAL, MC Maneirinho & Filipe Ret",9,2792322,1.7%,https://www.youtube.com/watch?v=Sau1_hWFHJE,2022-09-23,2022-09-29
32,33,26.0,Vento Forte,MC Jacaré & DJ TK,11,2772896,-11.3%,https://www.youtube.com/watch?v=e6yUmOtchLE,2022-09-23,2022-09-29
33,34,32.0,CORAÇÃO CIGANO (Ao Vivo),Luan Santana & Luísa Sonza,8,2744580,-4.8%,https://www.youtube.com/watch?v=Vz4Sb1bl1IE,2022-09-23,2022-09-29
34,35,,Unholy (Live),Sam Smith & Kim Petras,1,2720408,,https://www.youtube.com/watch?v=Uq9gPaIzbe8,2022-09-23,2022-09-29
35,36,37.0,Molhando O Volante (Live),Jorge & Mateus,41,2657441,-2.4%,https://www.youtube.com/watch?v=_SjTFD9qVuE,2022-09-23,2022-09-29
36,37,42.0,Eu Tenho a Senha (Ao Vivo),João Gomes,4,2634326,1.9%,https://www.youtube.com/watch?v=deVm70yarNw,2022-09-23,2022-09-29
37,38,43.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,10,2623284,2.5%,https://www.youtube.com/watch?v=pPxs52_MVIU,2022-09-23,2022-09-29
38,39,28.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,24,2592146,-16%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-09-23,2022-09-29
39,40,33.0,Até a Próxima Vida (Ao Vivo),Henrique & Juliano,24,2578831,-7.8%,https://www.youtube.com/watch?v=yrQuMSYsYZQ,2022-09-23,2022-09-29
40,41,39.0,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,22,2525390,-5.5%,https://www.youtube.com/watch?v=OnYr3TisCcg,2022-09-23,2022-09-29
41,42,38.0,Pode Apostar (Ao Vivo),Mari Fernandez & Xand Avião,20,2507734,-7.8%,https://www.youtube.com/watch?v=5EuvLJPOuKo,2022-09-23,2022-09-29
42,43,35.0,Temporal,Hungria Hip-Hop,2,2453417,-11.1%,https://www.youtube.com/watch?v=bwGftC32wNw,2022-09-23,2022-09-29
43,44,54.0,Under The Influence,Chris Brown,7,2428810,3.8%,https://www.youtube.com/watch?v=pfxyk1glEq4,2022-09-23,2022-09-29
44,45,41.0,Não Fosse Tão Tarde,Lou Garcia,8,2428544,-8.2%,https://www.youtube.com/watch?v=jd00enZSNFc,2022-09-23,2022-09-29
45,46,45.0,Vampiro,"Matuê, WIU & Teto",26,2422244,-2.8%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-09-23,2022-09-29
46,47,,Está Tudo Bem (Ao Vivo),Kellen Byanca,22,2368438,,https://www.youtube.com/watch?v=zP0KRlNPNos,2022-09-23,2022-09-29
47,48,52.0,Não Aceito Mais (Ao Vivo),João Gomes,2,2358786,-0.1%,https://www.youtube.com/watch?v=sllfKTGARPU,2022-09-23,2022-09-29
48,49,55.0,Festa de Vagabundo,Mc Paiva ZS & Kotim,16,2354304,1.8%,https://www.youtube.com/watch?v=8xxXjzRlcjQ,2022-09-23,2022-09-29
49,50,34.0,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,15,2340846,-15.9%,https://www.youtube.com/watch?v=4zhowmwBCuw,2022-09-23,2022-09-29
50,51,40.0,CACHORRINHAS,Luísa Sonza,11,2287126,-13.8%,https://www.youtube.com/watch?v=__ur8Ykcivw,2022-09-23,2022-09-29
51,52,10.0,Shut Down,BLACKPINK,2,2285999,-60.4%,https://www.youtube.com/watch?v=POe9SOEKotk,2022-09-23,2022-09-29
52,53,53.0,Evento Cancelado (Ao Vivo),Henrique & Juliano,8,2246701,-4.7%,https://www.youtube.com/watch?v=2cdF8Y3J1e4,2022-09-23,2022-09-29
53,54,48.0,O Fim é Triste (feat. DJ BOY),MC Hariel,15,2185997,-9.7%,https://www.youtube.com/watch?v=BZ-9iYlDpXc,2022-09-23,2022-09-29
54,55,59.0,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,17,2101186,-6.2%,https://www.youtube.com/watch?v=y3FdInN6n48,2022-09-23,2022-09-29
55,56,70.0,Another Love,Tom Odell,13,2098249,6.8%,https://www.youtube.com/watch?v=MwpMEbgC7DA,2022-09-23,2022-09-29
56,57,61.0,Good Vibe,Filipe Ret & Caio Luccas,10,2091436,-1.7%,https://www.youtube.com/watch?v=E4J0bFa4d0U,2022-09-23,2022-09-29
57,58,64.0,Deixa Eu Te Superar,Tarcísio do Acordeon,7,2075202,0.5%,https://www.youtube.com/watch?v=4lFYdHFaLxQ,2022-09-23,2022-09-29
58,59,56.0,Perfeito Pra Ficar Sozinho (Ao Vivo),Murilo Huff & Maiara & Maraisa,8,2031314,-11.5%,https://www.youtube.com/watch?v=IOuLc9ZhLuQ,2022-09-23,2022-09-29
59,60,68.0,Pelado,NATTAN,7,1966614,-3.5%,https://www.youtube.com/watch?v=3EtO6VToULk,2022-09-23,2022-09-29
60,61,71.0,"Vida Loka, Pt. 1 (Live)",Racionais MC's,18,1953667,0.1%,https://www.youtube.com/watch?v=IL1epaZCTmk,2022-09-23,2022-09-29
