,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Halls na Língua,Kadu Martins,5,9860564,21.9%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-07-07,2023-07-13
1,2,1.0,Nosso Quadro,Ana Castela,23,8877025,5.2%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-07-07,2023-07-13
2,3,5.0,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho & DJ 900,4,8716494,20.9%,https://www.youtube.com/watch?v=1DGsclIrgBE,2023-07-07,2023-07-13
3,4,4.0,MOLETOM,Luan Pereira & Gustavo Mioto,2,8684975,16.6%,https://www.youtube.com/watch?v=P4E831Xqs1c,2023-07-07,2023-07-13
4,5,6.0,Erro Gostoso (Ao Vivo),Simone Mendes,24,7781805,9.7%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-07-07,2023-07-13
5,6,3.0,Tá OK,DENNIS & MC Kevin o Chris,7,7320003,-5.9%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-07-07,2023-07-13
6,7,7.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,18,7172005,1.9%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-07-07,2023-07-13
7,8,14.0,Novidade na Área,Mc Livinho,3,7109377,37.4%,https://www.youtube.com/watch?v=8zWuVDqmCEQ,2023-07-07,2023-07-13
8,9,9.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,21,6875290,7.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-07-07,2023-07-13
9,10,10.0,Posturado E Calmo,Léo Santana,5,6425833,1%,https://www.youtube.com/watch?v=FtHBS6WLsfo,2023-07-07,2023-07-13
10,11,,Solteiro Forçado (Boiadeira Internacional),Ana Castela,1,6415184,,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-07-07,2023-07-13
11,12,12.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",8,6108519,11.3%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-07-07,2023-07-13
12,13,8.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",10,5870931,-13.2%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-07-07,2023-07-13
13,14,73.0,Mas Existe um Lugar,"cryzin, Kaio Viana & Noemi Leal",16,5715958,226.2%,https://www.youtube.com/watch?v=pdMNd_FMzTM,2023-07-07,2023-07-13
14,15,13.0,Me Atraiu (Ao Vivo),Gabriela Rocha,23,5340462,-0.3%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-07-07,2023-07-13
15,16,16.0,Leão,Marília Mendonça,31,5007306,1%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-07-07,2023-07-13
16,17,21.0,01 Não É 02,"Mc Paiva ZS, Love Funk & Dj ak beats",3,5005584,18.7%,https://www.youtube.com/watch?v=F1r31jw_HdY,2023-07-07,2023-07-13
17,18,19.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,13,4850853,5.2%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-07-07,2023-07-13
18,19,18.0,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",8,4844684,1.8%,https://www.youtube.com/watch?v=4Qta7cMSXc4,2023-07-07,2023-07-13
19,20,38.0,Barulho Do Foguete (Ao Vivo),Zé Neto & Cristiano,2,4619494,50.6%,https://www.youtube.com/watch?v=7t5mi3M_lAY,2023-07-07,2023-07-13
20,21,20.0,Pitbull Enraivado,Oh Polêmico,12,4570509,3%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-07-07,2023-07-13
21,22,17.0,"Banco do Carona (feat. Gabb MC, MC Joãozinho VT, MC Marks, MC Vine7 & MC Robs)","MC Don Juan, Mc Kako & DJ BOY",13,4382546,-9.2%,https://www.youtube.com/watch?v=Uxtgz1FU3XA,2023-07-07,2023-07-13
22,23,11.0,Vai Novinha An An An,"--, Dyamante DJ  & --",3,4201204,-24.4%,https://www.youtube.com/watch?v=MB5bJUUywKw,2023-07-07,2023-07-13
23,24,24.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,17,4015344,5.1%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-07-07,2023-07-13
24,25,15.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",36,3876794,-22.5%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-07-07,2023-07-13
25,26,25.0,Deixa,Maria Marçal,16,3833028,2.8%,https://www.youtube.com/watch?v=93TXfW3MT4o,2023-07-07,2023-07-13
26,27,29.0,Manda um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,9,3815498,11.9%,https://www.youtube.com/watch?v=b3NsZtiiwFg,2023-07-07,2023-07-13
27,28,28.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,30,3701781,6.4%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-07-07,2023-07-13
28,29,23.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,20,3674838,-7.4%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-07-07,2023-07-13
29,30,22.0,Cartão Black,MC Caverinha & KayBlack,9,3623728,-9.2%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-07-07,2023-07-13
30,31,26.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,26,3504241,-3.9%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-07-07,2023-07-13
31,32,34.0,"Love, Love",Melody & Naldo Benny,4,3445828,6.7%,https://www.youtube.com/watch?v=b_AoQ0z3RYM,2023-07-07,2023-07-13
32,33,37.0,Chorei na Vaquejada,Eric Land & Tarcísio do Acordeon,6,3445547,9.8%,https://www.youtube.com/watch?v=bydRD0taXIY,2023-07-07,2023-07-13
33,34,32.0,Não Para,"Belle Kaffer, Ana Castela & Charles New",19,3411362,4.4%,https://www.youtube.com/watch?v=NbOBWn43wGc,2023-07-07,2023-07-13
34,35,27.0,Sonho Lindo,João Gomes & Raquel dos Teclados,2,3375312,-5.3%,https://www.youtube.com/watch?v=quqX8EzKT0M,2023-07-07,2023-07-13
35,36,33.0,Ela Voltou de Perna Bamba (feat. MC Pê Original),"Dj Pikeno MPC, MC Guh SR & Markim WF",9,3164981,-2.1%,https://www.youtube.com/watch?v=5psNl_M0_jk,2023-07-07,2023-07-13
36,37,35.0,Conexões de Máfia (feat. Rich The Kid),Matuê,11,3126110,-1.5%,https://www.youtube.com/watch?v=rGHJ0mqean4,2023-07-07,2023-07-13
37,38,39.0,Vai Luan (AgroPlay Verão),"AgroPlay, Luan Pereira & Dj Chris No Beat",3,3086325,2.3%,https://www.youtube.com/watch?v=pQz-G1L-sHI,2023-07-07,2023-07-13
38,39,31.0,Melhor Só,"Kayblack, Marquinho no Beat & Baco Exu do Blues",15,3081907,-6%,https://www.youtube.com/watch?v=0lgAIjua6pA,2023-07-07,2023-07-13
39,40,30.0,BEM MELHOR,"MC Cabelinho, Oruam & Palma",10,3022456,-8.4%,https://www.youtube.com/watch?v=kWvFoR-Wf-I,2023-07-07,2023-07-13
40,41,36.0,Coladin (Minha Deusa),Zé Vaqueiro,32,3006612,-4.6%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-07-07,2023-07-13
41,42,41.0,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,18,2872262,0.4%,https://www.youtube.com/watch?v=fd3PJfv7SaY,2023-07-07,2023-07-13
42,43,42.0,Coração de Gelo,WIU,32,2872261,1%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-07-07,2023-07-13
43,44,43.0,Os Bico Tão Se Perguntando (Let’s Go 3),MC PH,14,2866937,3.5%,https://www.youtube.com/watch?v=uvbKI8Bc9dA,2023-07-07,2023-07-13
44,45,53.0,Um Mês E Pouco (Ao Vivo),Zé Neto & Cristiano,3,2778218,11.8%,https://www.youtube.com/watch?v=IFdMqOi5tkU,2023-07-07,2023-07-13
45,46,48.0,MINHA CURA,MC Cabelinho,28,2729888,2%,https://www.youtube.com/watch?v=har3c93pJe0,2023-07-07,2023-07-13
46,47,44.0,Jeová Jireh,Aline Barros,12,2728970,-1.3%,https://www.youtube.com/watch?v=YyFd_dXy494,2023-07-07,2023-07-13
47,48,,DONA DE MIM,Ana Castela,27,2666546,,https://www.youtube.com/watch?v=rUW7ev79fTA,2023-07-07,2023-07-13
48,49,46.0,Ia Dar Bom,Pedro Paulo & Alex & Ana Castela,6,2650824,-2.8%,https://www.youtube.com/watch?v=Mf2ctPSoLO8,2023-07-07,2023-07-13
49,50,45.0,Me Bloqueia (Ao Vivo),Zé Neto & Cristiano,17,2585174,-6.1%,https://www.youtube.com/watch?v=_I6rcvzXUE0,2023-07-07,2023-07-13
50,51,47.0,085 (Ao Vivo),MC Rogerinho,20,2474369,-8.2%,https://www.youtube.com/watch?v=LpHfPPqjUOk,2023-07-07,2023-07-13
51,52,49.0,Rancorosa (Ao Vivo),Henrique & Juliano,16,2456274,-5.7%,https://www.youtube.com/watch?v=x9XkXqGDo04,2023-07-07,2023-07-13
52,53,54.0,Papin,MC Kevin o Chris & MC Caja,13,2405142,0.1%,https://www.youtube.com/watch?v=Qr_0547VH58,2023-07-07,2023-07-13
53,54,55.0,Pião de Vida Louca,Japãozin,12,2296916,-3.5%,https://www.youtube.com/watch?v=sTuP-cnH9_w,2023-07-07,2023-07-13
