,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,38.0,"Let's Go 4 (feat. MC GP, MC GH do 7, MC Don Juan, TrapLaudo, Mc Kadu & Mc Davi)","MC PH, MC Ryan SP, DJ GBR, Mc Luki & Mc IG",2,14149616,337.8%,https://www.youtube.com/watch?v=zG5gWncAhls,2023-09-15,2023-09-21
1,2,4.0,Dentro da Hilux,"Luan Pereira, MC Ryan SP & Mc Daniel",4,9851563,4.5%,https://www.youtube.com/watch?v=HZli8pArLSE,2023-09-15,2023-09-21
2,3,2.0,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,28,8792690,-12.3%,https://www.youtube.com/watch?v=fd3PJfv7SaY,2023-09-15,2023-09-21
3,4,1.0,Toca o Trompete,Felipe Amorim,9,8692001,-15.7%,https://www.youtube.com/watch?v=47xUS-Pbc-U,2023-09-15,2023-09-21
4,5,3.0,Solteiro Forçado (Boiadeira Internacional),Ana Castela,11,8650058,-8.5%,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-09-15,2023-09-21
5,6,5.0,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris & Dj Nk Da Serra,9,7071091,-25%,https://www.youtube.com/watch?v=1ap3IyySQ2c,2023-09-15,2023-09-21
6,7,9.0,Canudinho (Ao Vivo),Gusttavo Lima & Ana Castela,3,6054317,-7.2%,https://www.youtube.com/watch?v=h09p0IGiKaE,2023-09-15,2023-09-21
7,8,11.0,Halls na Língua,Kadu Martins,15,5478965,-12%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-09-15,2023-09-21
8,9,10.0,Ballena,"Vulgo FK, Pedro Lotto & Veigh",10,5436739,-12.9%,https://www.youtube.com/watch?v=0nHHZZRYNf4,2023-09-15,2023-09-21
9,10,12.0,Nosso Quadro,Ana Castela,33,5420438,-12.2%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-09-15,2023-09-21
