,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Leão,Marília Mendonça,7,19483933,-16.3%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-01-20,2023-01-26
1,2,2.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",10,11045945,-3.1%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-01-20,2023-01-26
2,3,3.0,Luz do Luar,Mc Tato & Dj ak beats,7,8919267,5.3%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-01-20,2023-01-26
3,4,14.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",13,7687499,48.5%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-01-20,2023-01-26
4,5,5.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,16,7435174,-4.8%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-01-20,2023-01-26
5,6,4.0,Felina,WIU & MC Ryan SP,18,7336238,-9.4%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-01-20,2023-01-26
6,7,8.0,Coração de Gelo,WIU,8,7166134,8.2%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-01-20,2023-01-26
7,8,6.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,12,6939019,-7.1%,https://www.youtube.com/watch?v=t050lriI0_w,2023-01-20,2023-01-26
8,9,7.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",4,6606934,-8.8%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-01-20,2023-01-26
9,10,9.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,18,6126274,-7.4%,https://www.youtube.com/watch?v=af8fdbaB8JY,2023-01-20,2023-01-26
10,11,15.0,Lá Ele,Tierry & Manoel Gomes,3,5899957,15%,https://www.youtube.com/watch?v=_KaA8W_Hov8,2023-01-20,2023-01-26
11,12,10.0,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",7,5588202,-15.2%,https://www.youtube.com/watch?v=,2023-01-20,2023-01-26
12,13,12.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,27,5552988,-6.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-01-20,2023-01-26
13,14,19.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,6,5512544,19.3%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-01-20,2023-01-26
14,15,11.0,Evoque Prata (Sped Up),Lali DJ,12,5173855,-16.3%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2023-01-20,2023-01-26
15,16,13.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,14,5172778,-2.2%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2023-01-20,2023-01-26
