,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Nosso Quadro,Ana Castela,17,10865574,-15.6%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-05-26,2023-06-01
1,2,2.0,Erro Gostoso (Ao Vivo),Simone Mendes,18,9274954,-10.2%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-05-26,2023-06-01
2,3,4.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,12,7909270,-12.6%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-05-26,2023-06-01
3,4,3.0,Cartão Black,MC Caverinha & KayBlack,3,7272558,-20.3%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-05-26,2023-06-01
4,5,5.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,15,6656727,-21.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-05-26,2023-06-01
5,6,12.0,Me Atraiu (Ao Vivo),Gabriela Rocha,17,5728578,-0.9%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-05-26,2023-06-01
6,7,7.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,7,5536208,-13.2%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-05-26,2023-06-01
7,8,8.0,Leão,Marília Mendonça,25,5509582,-12.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-05-26,2023-06-01
8,9,6.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,11,5359731,-20.9%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-05-26,2023-06-01
9,10,10.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,20,5073988,-15.3%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-05-26,2023-06-01
10,11,9.0,Pitbull Enraivado,Oh Polêmico,6,4947559,-19.5%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-05-26,2023-06-01
