,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Nosso Quadro,Ana Castela,8,11884283,-13.4%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-03-24,2023-03-30
1,2,4.0,Vacilão,"Zé Felipe, Igow & Wesley Safadão",2,11237392,12.9%,https://www.youtube.com/watch?v=Ve6Am4IOX-Q,2023-03-24,2023-03-30
2,3,2.0,Lovezinho (Sexy Version) (Remix) (feat. DJ Garcez),Treyce,7,9970570,-12.7%,https://www.youtube.com/watch?v=,2023-03-24,2023-03-30
3,4,3.0,Leão,Marília Mendonça,16,9191918,-13.2%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-03-24,2023-03-30
4,5,5.0,085 (Ao Vivo),MC Rogerinho,5,8085314,-12.2%,https://www.youtube.com/watch?v=LpHfPPqjUOk,2023-03-24,2023-03-30
5,6,9.0,Erro Gostoso (Ao Vivo),Simone Mendes,9,7552632,19.3%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-03-24,2023-03-30
6,7,6.0,Zona De Perigo,Léo Santana,9,7199718,-10.3%,https://www.youtube.com/watch?v=0cnUcoXllMM,2023-03-24,2023-03-30
7,8,7.0,Coração de Gelo,WIU,17,7141736,-3.5%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-03-24,2023-03-30
8,9,10.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,15,6568840,10.9%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-03-24,2023-03-30
9,10,11.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",21,5623193,-2.5%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-03-24,2023-03-30
10,11,15.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,11,5540276,3.2%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-03-24,2023-03-30
11,12,12.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,12,5444889,-3.1%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-03-24,2023-03-30
12,13,14.0,Coladin (Minha Deusa),Zé Vaqueiro,17,5409143,-1.9%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-03-24,2023-03-30
13,14,8.0,Noite Fria,"Mc IG, MC Pipokinha & DJ Glenner",5,5356484,-15.6%,https://www.youtube.com/watch?v=lKNdzn_VL0k,2023-03-24,2023-03-30
14,15,13.0,Sem Aliança no Dedo,MC Xenon,7,5324730,-4.4%,https://www.youtube.com/watch?v=eOTJtXleRcE,2023-03-24,2023-03-30
15,16,20.0,Me Atraiu (Ao Vivo),Gabriela Rocha,8,5299836,6.4%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-03-24,2023-03-30
16,17,17.0,MINHA CURA,MC Cabelinho,13,5227529,-1.1%,https://www.youtube.com/watch?v=har3c93pJe0,2023-03-24,2023-03-30
17,18,26.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,2,5191791,14.2%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-03-24,2023-03-30
18,19,16.0,Felina,WIU & MC Ryan SP,27,4958033,-6.6%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-03-24,2023-03-30
19,20,28.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,6,4893856,9.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-03-24,2023-03-30
20,21,18.0,Luz do Luar,Mc Tato & Dj ak beats,16,4796669,-9.2%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-03-24,2023-03-30
21,22,19.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",19,4683613,-6.5%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-03-24,2023-03-30
22,23,23.0,Aquecimento Senta Senta Suave,MC Kevin o Chris & BUARQUE,3,4525512,-3.7%,https://www.youtube.com/watch?v=GKNWwEtf-Zc,2023-03-24,2023-03-30
23,24,22.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,25,4439791,-5.8%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-03-24,2023-03-30
24,25,25.0,Love Absurdo,"Mari Fernandez, MC Ryan SP & Mc Daniel",7,4382854,-4.1%,https://www.youtube.com/watch?v=c-9KKQX4vwA,2023-03-24,2023-03-30
25,26,21.0,Altas Loucurinhas (Uni Duni Tê) (Ao Vivo),Matheus Fernandes,8,4340185,-10.3%,https://www.youtube.com/watch?v=JFf_IKPC6RM,2023-03-24,2023-03-30
26,27,31.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,21,4002587,9.2%,https://www.youtube.com/watch?v=t050lriI0_w,2023-03-24,2023-03-30
27,28,35.0,Não Vitalício (Nunca Mais) [Ao Vivo],Matheus & Kauan & Mari Fernandez,8,3865916,14%,https://www.youtube.com/watch?v=OO1nHL70qEE,2023-03-24,2023-03-30
28,29,24.0,Facilita Aí,Zé Felipe,8,3836127,-16.4%,https://www.youtube.com/watch?v=u8PI0ASpG4U,2023-03-24,2023-03-30
29,30,29.0,Saudade da Minha Vida (Ao Vivo),Gusttavo Lima,9,3753676,-2.2%,https://www.youtube.com/watch?v=Jm5MCIVwjas,2023-03-24,2023-03-30
30,31,36.0,Não Para,"Belle Kaffer, Ana Castela & Charles New",4,3741347,11%,https://www.youtube.com/watch?v=NbOBWn43wGc,2023-03-24,2023-03-30
31,32,34.0,Traumatizei (Ao Vivo Em Brasília),Henrique & Juliano,8,3668288,6.1%,https://www.youtube.com/watch?v=QxZFjShiXhA,2023-03-24,2023-03-30
32,33,30.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,15,3315758,-12%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-03-24,2023-03-30
33,34,39.0,Desabafo,"Mc Poze do Rodo, Ajaxx & Mainstreet",2,3145552,1.5%,https://www.youtube.com/watch?v=78aBsqmXdk4,2023-03-24,2023-03-30
34,35,38.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,36,3105300,-5.5%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-03-24,2023-03-30
35,36,32.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",13,3054239,-12.5%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-03-24,2023-03-30
36,37,37.0,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",27,3026072,-9.3%,https://www.youtube.com/watch?v=69-jnA4QLSM,2023-03-24,2023-03-30
37,38,48.0,Vida Chique (feat. Kaash Paige),Veigh & Supernova Ent,12,2940997,8.2%,https://www.youtube.com/watch?v=HzVS22rEwzU,2023-03-24,2023-03-30
38,39,41.0,Horas Iguais,WIU & Oruam,25,2904975,-3.3%,https://www.youtube.com/watch?v=hr_83ZXhmOI,2023-03-24,2023-03-30
39,40,40.0,Namora Aí,MC Ryan SP & Mc Daniel,16,2903964,-5.9%,https://www.youtube.com/watch?v=4HQect5dM-g,2023-03-24,2023-03-30
40,41,33.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",22,2903352,-16%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-03-24,2023-03-30
41,42,44.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,32,2843041,1.1%,https://www.youtube.com/watch?v=pPxs52_MVIU,2023-03-24,2023-03-30
42,43,42.0,BEBÊ TÁ SOLTA,Yuri Redicopa & Dj Bnão,4,2781698,-5.9%,https://www.youtube.com/watch?v=1HmP3XYkdnQ,2023-03-24,2023-03-30
43,44,54.0,DONA DE MIM,Ana Castela,14,2746581,7.5%,https://www.youtube.com/watch?v=rUW7ev79fTA,2023-03-24,2023-03-30
44,45,53.0,ENSAIO DAS MARAVILHAS,PEDRO SAMPAIO & Thaysa Maravilha,6,2742965,3.1%,https://www.youtube.com/watch?v=a8xV1QH_P18,2023-03-24,2023-03-30
45,46,51.0,Good Vibe,Filipe Ret & Caio Luccas,24,2710998,1.6%,https://www.youtube.com/watch?v=E4J0bFa4d0U,2023-03-24,2023-03-30
46,47,45.0,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",21,2681738,-3.6%,https://www.youtube.com/watch?v=eI5FkVWz_dI,2023-03-24,2023-03-30
47,48,,Assunto Particular,Oruam,1,2672709,,https://www.youtube.com/watch?v=5hj2kiGGbGs,2023-03-24,2023-03-30
48,49,52.0,SOLTEIROU (Ao Vivo),Luan Santana,9,2666174,0.2%,https://www.youtube.com/watch?v=GnoTgMEckDs,2023-03-24,2023-03-30
49,50,49.0,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello & Flow Eazy",15,2657819,-1%,https://www.youtube.com/watch?v=Kh9fYUUMK9U,2023-03-24,2023-03-30
50,51,,Rancorosa (Ao Vivo),Henrique & Juliano,1,2531756,,https://www.youtube.com/watch?v=x9XkXqGDo04,2023-03-24,2023-03-30
51,52,47.0,Lá Ele,Tierry & Manoel Gomes,12,2444006,-10.3%,https://www.youtube.com/watch?v=_KaA8W_Hov8,2023-03-24,2023-03-30
52,53,65.0,Alô Inveja (Ao Vivo Em Brasília),Henrique & Juliano,8,2435003,8.1%,https://www.youtube.com/watch?v=DB6-B_vtwuQ,2023-03-24,2023-03-30
53,54,80.0,Calm Down,Rema & Selena Gomez,17,2428788,36.1%,https://www.youtube.com/watch?v=WcIcVapfqXw,2023-03-24,2023-03-30
54,55,64.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,5,2334015,1.3%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-03-24,2023-03-30
55,56,74.0,Perdoou Nada (Ao Vivo),Israel & Rodolffo & Jorge & Mateus,11,2289073,23.9%,https://www.youtube.com/watch?v=xEd4vHYLDko,2023-03-24,2023-03-30
56,57,76.0,"Let's Go 3 (feat. MC Ryan SP, MC Don Juan, MC PH, Mc Luki, Mc Paiva ZS, MC GP & Makalo)","DJ GBR, Mc IG & MC Marks",22,2241243,22%,https://www.youtube.com/watch?v=sj-pRriVRJI,2023-03-24,2023-03-30
57,58,61.0,Bandido Não Dança (feat. Love Funk),"Mc Paiva ZS, Gabb MC & DJ ALADIN GDB",10,2227808,-4.1%,https://www.youtube.com/watch?v=UR7APKgOprI,2023-03-24,2023-03-30
58,59,78.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,3,2221120,21%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-03-24,2023-03-30
59,60,62.0,Eu To no Jogo (feat. MC Magal),"MC Tuto, MC Joãozinho VT & Mc Kako",7,2177157,-5.6%,https://www.youtube.com/watch?v=d_zOeyuZa1o,2023-03-24,2023-03-30
60,61,57.0,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,12,2143206,-12.6%,https://www.youtube.com/watch?v=_xl7YEj7IBM,2023-03-24,2023-03-30
61,62,59.0,Eu Minto (Ao Vivo),US Agroboy & Ana Castela,9,2098411,-10.6%,https://www.youtube.com/watch?v=E7d9hda5Cws,2023-03-24,2023-03-30
62,63,46.0,Pilantra,Jão & Anitta,3,2069524,-24.9%,https://www.youtube.com/watch?v=xDlLe1xP2qI,2023-03-24,2023-03-30
63,64,69.0,Perdoa Por Tudo Vida,"Veigh, Toledo, Supernova Ent & Bvga Beatz",11,2061166,-0.2%,https://www.youtube.com/watch?v=za1IIm-yLbg,2023-03-24,2023-03-30
64,65,67.0,Flowers,Miley Cyrus,11,2007970,-10.1%,https://www.youtube.com/watch?v=G7KNmW9a75Y,2023-03-24,2023-03-30
65,66,66.0,Não Me Esqueço,Dj Chaves & Mc Tato,10,1984242,-11.4%,https://www.youtube.com/watch?v=pbSRbPHlwXE,2023-03-24,2023-03-30
66,67,71.0,Sem Coração,Mc Kako & DJ JR No Beat,8,1935257,-0.7%,https://www.youtube.com/watch?v=_13nyyGnnuQ,2023-03-24,2023-03-30
67,68,72.0,Maciçado,Mc Kako,13,1922076,0.2%,https://www.youtube.com/watch?v=Em4BVubFQLc,2023-03-24,2023-03-30
68,69,,Americana Na Vaquejada,Grandão Vaqueiro & NATTAN,1,1909760,,https://www.youtube.com/watch?v=uSHSess_Tpg,2023-03-24,2023-03-30
69,70,,Mas Existe um Lugar,"cryzin, Kaio Viana & Noemi Leal",1,1887048,,https://www.youtube.com/watch?v=pdMNd_FMzTM,2023-03-24,2023-03-30
70,71,73.0,NOSSA MÚSICA,MC Cabelinho & Gloria Groove,10,1885152,-0.8%,https://www.youtube.com/watch?v=iBmrml_5JFk,2023-03-24,2023-03-30
