,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",7,12827531,-4.5%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2022-12-30,2023-01-05
1,2,13.0,Leão,Marília Mendonça,4,8552378,59.9%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2022-12-30,2023-01-05
2,3,2.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,9,8348304,-12.5%,https://www.youtube.com/watch?v=t050lriI0_w,2022-12-30,2023-01-05
3,4,5.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,13,8142355,-5.1%,https://www.youtube.com/watch?v=uBc1wkTMywM,2022-12-30,2023-01-05
4,5,3.0,Felina,WIU & MC Ryan SP,15,8121494,-12%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2022-12-30,2023-01-05
5,6,4.0,Evoque Prata (Sped Up),Lali DJ,9,8095220,-9.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2022-12-30,2023-01-05
6,7,6.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,15,6939053,-15%,https://www.youtube.com/watch?v=af8fdbaB8JY,2022-12-30,2023-01-05
7,8,10.0,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",4,6722944,8.6%,https://www.youtube.com/watch?v=,2022-12-30,2023-01-05
8,9,9.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,15,6264793,-3.4%,https://www.youtube.com/watch?v=J3H--06Xw6g,2022-12-30,2023-01-05
9,10,8.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,24,5980519,-12.2%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-12-30,2023-01-05
10,11,18.0,Luz do Luar,Mc Tato & Dj ak beats,4,5911790,22.9%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2022-12-30,2023-01-05
11,12,35.0,Cheiro da Karolina,Luiz Poderoso Chefão,11,5883027,72.1%,https://www.youtube.com/watch?v=9gbWg7EGFEc,2022-12-30,2023-01-05
12,13,7.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,26,5834206,-18.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-12-30,2023-01-05
13,14,12.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,11,5582861,-4.1%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2022-12-30,2023-01-05
14,15,11.0,Alemãozin,Oruam,14,5205596,-15.3%,https://www.youtube.com/watch?v=rALK230exU0,2022-12-30,2023-01-05
15,16,14.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,33,5139409,-3.9%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-12-30,2023-01-05
16,17,16.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,51,4852200,-4.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-12-30,2023-01-05
