,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,,Bandido,Zé Felipe & Mc Mari,1,14393415,,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-06-17,2022-06-23
1,2,1.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,12,9364702,-6.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-06-17,2022-06-23
2,3,3.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,15,8910593,10%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-06-17,2022-06-23
3,4,2.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,10,8096160,-1.9%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-06-17,2022-06-23
4,5,5.0,Tu Tava Na Revoada,Wesley Safadão,5,7613589,5.8%,https://www.youtube.com/watch?v=GmlBAosY3V0,2022-06-17,2022-06-23
5,6,4.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",13,7424636,2.4%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-06-17,2022-06-23
6,7,6.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,49,6163095,-9.1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-06-17,2022-06-23
7,8,9.0,Malvada,Zé Felipe,21,6081067,5%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-06-17,2022-06-23
8,9,19.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,9,5710954,11.6%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-06-17,2022-06-23
9,10,12.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",17,5518851,-1.2%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-06-17,2022-06-23
10,11,11.0,Bloqueado (Ao Vivo),Gusttavo Lima,30,5504079,-1.8%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-06-17,2022-06-23
11,12,10.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",12,5238592,-8.5%,https://www.youtube.com/watch?v=273pasBKH18,2022-06-17,2022-06-23
12,13,15.0,Vampiro,"Matuê, WIU & Teto",12,5141448,-6.9%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-06-17,2022-06-23
13,14,8.0,Me Chama de Amor (feat. Mc Treyce) (feat. Mc Treyce),O Tubarão,11,5129497,-15.8%,https://www.youtube.com/watch?v=J9AfRmtdqGs,2022-06-17,2022-06-23
14,15,14.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,42,5115000,-8.1%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-06-17,2022-06-23
15,16,17.0,No Ouvidinho,Felipe Amorim,13,5054196,-4.4%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-06-17,2022-06-23
16,17,18.0,Dengo (Ao Vivo),João Gomes,7,4979413,-4.8%,https://www.youtube.com/watch?v=mqYjyQG11GQ,2022-06-17,2022-06-23
17,18,26.0,Intuição (Ao Vivo),Mari Fernandez,7,4920509,22.3%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-06-17,2022-06-23
18,19,25.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,20,4867620,20.8%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-06-17,2022-06-23
19,20,13.0,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,3,4851322,-13.2%,https://www.youtube.com/watch?v=y3FdInN6n48,2022-06-17,2022-06-23
20,21,22.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,5,4824608,13.5%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-06-17,2022-06-23
