,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,9,11283626,-9%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-09-02,2022-09-08
1,2,2.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,16,10704131,-9.8%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-09-02,2022-09-08
2,3,3.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",10,10000295,9.4%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-09-02,2022-09-08
3,4,5.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,9,8216309,12.9%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-09-02,2022-09-08
4,5,4.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,23,7883110,2%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-09-02,2022-09-08
5,6,7.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",14,7079276,7.3%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-09-02,2022-09-08
6,7,6.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,20,6690149,0.5%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-09-02,2022-09-08
7,8,,Set Wesley Alemão,"MC Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",1,6193578,,https://www.youtube.com/watch?v=,2022-09-02,2022-09-08
8,9,10.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,7,5959160,8.2%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-09-02,2022-09-08
9,10,8.0,X1,MC Cabelinho & Dallass,24,5846776,3%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-09-02,2022-09-08
10,11,11.0,Intuição (Ao Vivo),Mari Fernandez,18,5185079,1%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-09-02,2022-09-08
11,12,14.0,Gostosinha é Ela,Felipe Amorim,7,4837592,8.5%,https://www.youtube.com/watch?v=zSRjeUpQUwI,2022-09-02,2022-09-08
12,13,9.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",11,4762912,-14.3%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-09-02,2022-09-08
13,14,26.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,34,4517417,26.9%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-09-02,2022-09-08
14,15,13.0,Bandido,Zé Felipe & Mc Mari,12,4459341,-3%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-09-02,2022-09-08
