,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,4,9867965,5.4%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-05-06,2022-05-12
1,2,3.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,9,7771662,-9.2%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-05-06,2022-05-12
2,3,4.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,6,7330729,-10.2%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-05-06,2022-05-12
3,4,2.0,No Ouvidinho,Felipe Amorim,7,7207080,-17.7%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-05-06,2022-05-12
4,5,6.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",6,6903023,-11.9%,https://www.youtube.com/watch?v=273pasBKH18,2022-05-06,2022-05-12
5,6,5.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",11,6655669,-17.1%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-05-06,2022-05-12
6,7,7.0,Vampiro,"Matuê, WIU & Teto",6,6414875,-5.8%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-05-06,2022-05-12
7,8,9.0,Fim de Semana no Rio,Teto,7,6218437,-8.2%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-05-06,2022-05-12
8,9,10.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,43,6109304,-5.1%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-05-06,2022-05-12
9,10,11.0,Malvada,Zé Felipe,15,5925561,-7.8%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-05-06,2022-05-12
10,11,12.0,Bloqueado (Ao Vivo),Gusttavo Lima,24,5706951,-5.1%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-05-06,2022-05-12
11,12,13.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,17,5310598,-11.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-05-06,2022-05-12
12,13,15.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",7,4629822,-8.9%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-05-06,2022-05-12
13,14,19.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,36,4616580,-2.6%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-05-06,2022-05-12
14,15,40.0,Kikando e Me Olhando,"MC Braz, MC Tairon & Dj Win",5,4612921,44.2%,https://www.youtube.com/watch?v=x4QSi_Eb-c8,2022-05-06,2022-05-12
15,16,28.0,Me Chama de Amor (feat. Mc Treyce) (feat. Mc Treyce),O Tubarão,5,4601444,22.6%,https://www.youtube.com/watch?v=J9AfRmtdqGs,2022-05-06,2022-05-12
16,17,16.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,23,4495965,-7.5%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2022-05-06,2022-05-12
17,18,23.0,Gostosinho Tu Cai,Mc Pepeu & DJ Swat,3,4397757,2.5%,https://www.youtube.com/watch?v=lac3TYlarFM,2022-05-06,2022-05-12
18,19,17.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,14,4160323,-12.8%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-05-06,2022-05-12
19,20,18.0,Malvadão 3,Xamã,21,4133087,-13%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-05-06,2022-05-12
20,21,22.0,Amiga (Ao Vivo),Simone & Simaria,2,4132644,-6%,https://www.youtube.com/watch?v=48s6RGU1dr0,2022-05-06,2022-05-12
21,22,21.0,Vontade De Morder,Simone & Simaria & Zé Felipe,17,4019599,-11.5%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-05-06,2022-05-12
22,23,20.0,Botadinha Saliente,MC Rogerinho,14,3982114,-15%,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-05-06,2022-05-12
23,24,39.0,Seu Perfil (Ao Vivo),Henrique & Juliano,15,3740411,14.6%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-05-06,2022-05-12
24,25,29.0,Parada Louca,Marcynho Sensação,26,3512871,-2.1%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2022-05-06,2022-05-12
25,26,27.0,Simplesmente Ela,Mc Gabzin,8,3506690,-8.7%,https://www.youtube.com/watch?v=K6iRoT8u2xU,2022-05-06,2022-05-12
26,27,24.0,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,4,3393158,-18.9%,https://www.youtube.com/watch?v=apPxQOfh0ek,2022-05-06,2022-05-12
27,28,30.0,Depende,Dj Guuga,21,3385890,-4.8%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-05-06,2022-05-12
28,29,25.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",29,3331789,-17.4%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-05-06,2022-05-12
29,30,32.0,Deus É o Meu Guia,Chefin Oficial,11,3298178,-4.9%,https://www.youtube.com/watch?v=WrZ6fKelwOU,2022-05-06,2022-05-12
30,31,35.0,Assault (Carro Forte),"Orochi, Chefin, Oruam, Borges, Mainstreet & Bielzin",6,3283951,-3.9%,https://www.youtube.com/watch?v=n43oZSY7df0,2022-05-06,2022-05-12
31,32,41.0,X1,MC Cabelinho & Dallass,7,3213526,3.8%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-05-06,2022-05-12
32,33,34.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,24,3194626,-7%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-05-06,2022-05-12
33,34,,EU BEM QUE TE AVISEI - TU EMPINOU ELE PEI,Mc Delux & Dj ABDO,2,3176958,,https://www.youtube.com/watch?v=76DWwRaztPQ,2022-05-06,2022-05-12
34,35,36.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,28,3159417,-7.3%,https://www.youtube.com/watch?v=r2ma8WPRppk,2022-05-06,2022-05-12
35,36,31.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,26,3142208,-11.1%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-05-06,2022-05-12
36,37,38.0,Molhando O Volante (Live),Jorge & Mateus,22,3109712,-6.9%,https://www.youtube.com/watch?v=_SjTFD9qVuE,2022-05-06,2022-05-12
