,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Felina,WIU & MC Ryan SP,6,8480707,-1.8%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2022-10-28,2022-11-03
1,2,4.0,Alemãozin,Oruam,5,8013369,0.4%,https://www.youtube.com/watch?v=rALK230exU0,2022-10-28,2022-11-03
2,3,3.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,6,7626312,-10.7%,https://www.youtube.com/watch?v=af8fdbaB8JY,2022-10-28,2022-11-03
3,4,6.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,15,6862700,-1.9%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-10-28,2022-11-03
4,5,7.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,17,6561250,-1.9%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-10-28,2022-11-03
5,6,8.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,24,6136719,-1.9%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-10-28,2022-11-03
6,7,5.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",18,6104474,-14%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-10-28,2022-11-03
7,8,11.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,6,5790812,-6.4%,https://www.youtube.com/watch?v=J3H--06Xw6g,2022-10-28,2022-11-03
8,9,9.0,Te Love (Ao Vivo),Kevi Jonny,9,5720651,-7.8%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2022-10-28,2022-11-03
9,10,,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",1,5578079,,https://www.youtube.com/watch?v=24lfgigKHqQ,2022-10-28,2022-11-03
10,11,19.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,4,5357992,24%,https://www.youtube.com/watch?v=uBc1wkTMywM,2022-10-28,2022-11-03
11,12,13.0,X1,MC Cabelinho & Dallass,32,4959477,-4.6%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-10-28,2022-11-03
12,13,12.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,17,4954376,-5.8%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-10-28,2022-11-03
13,14,14.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,28,4769511,-4.9%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-10-28,2022-11-03
14,15,17.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",19,4450802,-2.4%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-10-28,2022-11-03
15,16,15.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,31,4358933,-8.9%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-10-28,2022-11-03
16,17,32.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,2,4177419,31.1%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2022-10-28,2022-11-03
17,18,16.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,42,4165874,-8.7%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-10-28,2022-11-03
18,19,18.0,NÉ SEGREDO,MC Cabelinho,7,4153952,-5.7%,https://www.youtube.com/watch?v=GqLrlHHeww0,2022-10-28,2022-11-03
19,20,,Tá na Hora do Jair Já Ir Embora,Tiago Doidão & Juliano Maderada,1,4107730,,https://www.youtube.com/watch?v=RTMiC5WturY,2022-10-28,2022-11-03
20,21,10.0,50 Cópias,Zé Felipe,2,3901672,-36.9%,https://www.youtube.com/watch?v=VA1PMms8Vio,2022-10-28,2022-11-03
21,22,25.0,Seu Perfil (Ao Vivo),Henrique & Juliano,40,3763290,-0%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-10-28,2022-11-03
22,23,21.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",22,3743134,-9.3%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-10-28,2022-11-03
23,24,1.0,Poesia Acústica 13,"Chris MC, Salve Malak, Tz da Coronel, MC Cabelinho, Chefin, L7NNON, Luísa Sonza, Oruam, Xamã & N.I.N.A",7,3722042,-58.7%,https://www.youtube.com/watch?v=69-jnA4QLSM,2022-10-28,2022-11-03
24,25,23.0,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",14,3683548,-8.4%,https://www.youtube.com/watch?v=thfYx-W63ws,2022-10-28,2022-11-03
25,26,20.0,Set Wesley Alemão,"MC Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",9,3681634,-11.8%,https://www.youtube.com/watch?v=,2022-10-28,2022-11-03
26,27,29.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,15,3631323,6.1%,https://www.youtube.com/watch?v=pPxs52_MVIU,2022-10-28,2022-11-03
27,28,22.0,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,4,3573773,-12.2%,https://www.youtube.com/watch?v=FQgZAj45ojY,2022-10-28,2022-11-03
28,29,39.0,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",3,3465229,25.6%,https://www.youtube.com/watch?v=tBdx1b40rfU,2022-10-28,2022-11-03
29,30,31.0,Unholy (Live),Sam Smith & Kim Petras,6,3379323,4.7%,https://www.youtube.com/watch?v=Uq9gPaIzbe8,2022-10-28,2022-11-03
30,31,30.0,Intuição (Ao Vivo),Mari Fernandez,26,3326560,0.8%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-10-28,2022-11-03
31,32,28.0,Gostosinha é Ela,Felipe Amorim,15,3262278,-5.4%,https://www.youtube.com/watch?v=zSRjeUpQUwI,2022-10-28,2022-11-03
32,33,,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,24,3117962,,https://www.youtube.com/watch?v=OnYr3TisCcg,2022-10-28,2022-11-03
33,34,38.0,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",7,3088676,10.4%,https://www.youtube.com/watch?v=1CIIIv9dfzg,2022-10-28,2022-11-03
34,35,26.0,Quem Não Conhece Tá Sem Internet,"MC Marks, DJ BOY & Dj GM",9,2879598,-22.7%,https://www.youtube.com/watch?v=oc0wsia4b3E,2022-10-28,2022-11-03
35,36,33.0,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,6,2850494,-9.6%,https://www.youtube.com/watch?v=OjZNMnmUVT4,2022-10-28,2022-11-03
36,37,,Lift Me Up (From Black Panther: Wakanda Forever - Music From and Inspired By),Rihanna,1,2785420,,https://www.youtube.com/watch?v=Mx_OexsUI2M,2022-10-28,2022-11-03
37,38,34.0,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",24,2733926,-13.3%,https://www.youtube.com/watch?v=wumB0Qs2YT4,2022-10-28,2022-11-03
38,39,27.0,Ex dos Meus Sonhos (Ao Vivo),Gusttavo Lima,4,2699524,-22.2%,https://www.youtube.com/watch?v=d7NMHcIecCE,2022-10-28,2022-11-03
39,40,35.0,Digo ou Não Digo (Ao Vivo),João Gomes & L7NNON,6,2616706,-15.4%,https://www.youtube.com/watch?v=Wv6xQMEC-Wo,2022-10-28,2022-11-03
40,41,,Vai Dar Pt,Léo Santana,1,2616413,,https://www.youtube.com/watch?v=GKZyqhieHH4,2022-10-28,2022-11-03
41,42,41.0,Chá de Chifre,"Marcynho Sensação, Mc Mari & Wesley Safadão",12,2605778,-2.4%,https://www.youtube.com/watch?v=8x2QxMZIUH0,2022-10-28,2022-11-03
42,43,44.0,Evento Cancelado (Ao Vivo),Henrique & Juliano,13,2595465,-0.2%,https://www.youtube.com/watch?v=2cdF8Y3J1e4,2022-10-28,2022-11-03
43,44,37.0,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,15,2539354,-11.1%,https://www.youtube.com/watch?v=MBg5g2g3okU,2022-10-28,2022-11-03
