,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,25.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",4,15102012,241.2%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-03-18,2022-03-24
1,2,1.0,Malvada,Zé Felipe,8,11281943,-17.7%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-03-18,2022-03-24
2,3,2.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,7,10162843,-6.5%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-03-18,2022-03-24
3,4,3.0,Malvadão 3,Xamã,14,9197381,-7.4%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-03-18,2022-03-24
4,5,10.0,Botadinha Saliente,MC Rogerinho,7,8103289,7.5%,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-03-18,2022-03-24
5,6,5.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,36,7819251,-3.9%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-03-18,2022-03-24
6,7,7.0,Vontade De Morder,Simone & Simaria & Zé Felipe,10,7374406,-4.5%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-03-18,2022-03-24
7,8,6.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,10,7340283,-5.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-03-18,2022-03-24
8,9,8.0,Bloqueado (Ao Vivo),Gusttavo Lima,17,7283988,-5.2%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-03-18,2022-03-24
9,10,9.0,Depende,Dj Guuga,14,7117438,-5.6%,https://www.youtube.com/watch?v=v9geHIUOxeA,2022-03-18,2022-03-24
10,11,4.0,Deus É o Meu Guia,Chefin Oficial,4,7046947,-17%,https://www.youtube.com/watch?v=WrZ6fKelwOU,2022-03-18,2022-03-24
11,12,26.0,Envolver,--,9,6807703,63.2%,https://www.youtube.com/watch?v=hFCjGiawJi4,2022-03-18,2022-03-24
12,13,11.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",22,6477282,-11.6%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-03-18,2022-03-24
13,14,16.0,Vai Lá Em Casa Hoje (Live),George Henrique & Rodrigo & Marília Mendonça,21,5684774,4.7%,https://www.youtube.com/watch?v=r2ma8WPRppk,2022-03-18,2022-03-24
14,15,21.0,CAFÉ DA MANHÃ ;P,Luísa Sonza & Ludmilla,7,5540627,19.2%,https://www.youtube.com/watch?v=CJdhWgebwqA,2022-03-18,2022-03-24
15,16,14.0,Parada Louca,Marcynho Sensação,19,5509342,-3.3%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2022-03-18,2022-03-24
16,17,13.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,19,5467144,-9.6%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-03-18,2022-03-24
17,18,15.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,17,5342835,-5.5%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-03-18,2022-03-24
18,19,17.0,Tuf Tuf Pof Pof,"Mc Reino, DJ Malicia, Mc Babu, MC PR & --",6,5070083,-6.3%,https://www.youtube.com/watch?v=ulY5kBy2exo,2022-03-18,2022-03-24
19,20,18.0,Me Sinto Abençoado (feat. Ajaxx),Mc Poze do Rodo,16,4952768,-2.1%,https://www.youtube.com/watch?v=BKDz5kNjkfU,2022-03-18,2022-03-24
