,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Malvadão 3,Xamã,5,21348309,-8.7%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-01-14,2022-01-20
1,2,,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,1,13430579,,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-01-14,2022-01-20
2,3,,212,Chefin & Mainstreet,1,13179969,,https://www.youtube.com/watch?v=290Q1JFInHE,2022-01-14,2022-01-20
3,4,2.0,Toma Toma Vapo Vapo,MC Danny & Zé Felipe,10,11074066,-13.3%,https://www.youtube.com/watch?v=ey6H_cBy-OQ,2022-01-14,2022-01-20
4,5,3.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",13,10886770,-3.9%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-01-14,2022-01-20
5,6,60.0,Malvadão 3,Xamã,2,9897391,285.4%,https://www.youtube.com/watch?v=fo2iXmnmx0w,2022-01-14,2022-01-20
6,7,4.0,Parada Louca,Marcynho Sensação,10,9504019,-4.8%,https://www.youtube.com/watch?v=8hvzfKh4VEo,2022-01-14,2022-01-20
7,8,,Vontade De Morder,Simone & Simaria & Zé Felipe,1,9211832,,https://www.youtube.com/watch?v=bgf18kANm_k,2022-01-14,2022-01-20
8,9,6.0,Pandora (feat. MC GP & Vulgo FK),Dj Matt D & Menor MC,8,9134296,5.8%,https://www.youtube.com/watch?v=6MNxuMgg58k,2022-01-14,2022-01-20
9,10,5.0,Cabeça Branca (Live),Tierry,16,9082981,-0.2%,https://www.youtube.com/watch?v=J_jJhHhYW9w,2022-01-14,2022-01-20
10,11,12.0,Bloqueado (Ao Vivo),Gusttavo Lima,8,8246518,41.1%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-01-14,2022-01-20
11,12,7.0,Cê Tá Preparada (Ao Vivo),Tayrone & Marília Mendonça,27,8051727,-3.9%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-01-14,2022-01-20
