,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,"Let's Go 4 (feat. MC GP, MC GH do 7, MC Don Juan, TrapLaudo, Mc Kadu & Mc Davi)","MC PH, MC Ryan SP, DJ GBR, Mc Luki & Mc IG",3,14130438,-0.1%,https://www.youtube.com/watch?v=zG5gWncAhls,2023-09-22,2023-09-28
1,2,2.0,Dentro da Hilux,"Luan Pereira, MC Ryan SP & Mc Daniel",5,11241946,14.1%,https://www.youtube.com/watch?v=HZli8pArLSE,2023-09-22,2023-09-28
2,3,3.0,Lapada Dela (Ao Vivo),Grupo Menos É Mais & Matheus Fernandes,29,9612077,9.3%,https://www.youtube.com/watch?v=fd3PJfv7SaY,2023-09-22,2023-09-28
3,4,5.0,Solteiro Forçado (Boiadeira Internacional),Ana Castela,12,8800394,1.7%,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-09-22,2023-09-28
4,5,4.0,Toca o Trompete,Felipe Amorim,10,8539559,-1.8%,https://www.youtube.com/watch?v=47xUS-Pbc-U,2023-09-22,2023-09-28
5,6,6.0,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris & Dj Nk Da Serra,10,6970195,-1.4%,https://www.youtube.com/watch?v=1ap3IyySQ2c,2023-09-22,2023-09-28
6,7,7.0,Canudinho (Ao Vivo),Gusttavo Lima & Ana Castela,4,6764609,11.7%,https://www.youtube.com/watch?v=h09p0IGiKaE,2023-09-22,2023-09-28
7,8,12.0,Erro Gostoso (Ao Vivo),Simone Mendes,35,5606793,4.7%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-09-22,2023-09-28
8,9,8.0,Halls na Língua,Kadu Martins,16,5486861,0.1%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-09-22,2023-09-28
9,10,10.0,Nosso Quadro,Ana Castela,34,5439430,0.4%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-09-22,2023-09-28
10,11,16.0,Eu Sou Teu Pai (Ao Vivo),Valesca Mayssa,14,5299131,6.1%,https://www.youtube.com/watch?v=kNJPalON82E,2023-09-22,2023-09-28
11,12,15.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,29,5258326,5.3%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-09-22,2023-09-28
12,13,17.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,32,5206914,5.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-09-22,2023-09-28
13,14,9.0,Ballena,"Vulgo FK, Pedro Lotto & Veigh",11,5041544,-7.3%,https://www.youtube.com/watch?v=0nHHZZRYNf4,2023-09-22,2023-09-28
14,15,22.0,Manda um Oi (Ao Vivo),Guilherme & Benuto & Simone Mendes,20,4969391,6.7%,https://www.youtube.com/watch?v=b3NsZtiiwFg,2023-09-22,2023-09-28
15,16,18.0,Quem É o Louco Entre Nós,Raphaela Santos,15,4941838,2.2%,https://www.youtube.com/watch?v=OLbaoD4db48,2023-09-22,2023-09-28
16,17,19.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,31,4941252,3%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-09-22,2023-09-28
17,18,21.0,Deixa,Maria Marçal,27,4881750,3.9%,https://www.youtube.com/watch?v=93TXfW3MT4o,2023-09-22,2023-09-28
18,19,11.0,"Banco do Carona (feat. Gabb MC, MC Joãozinho VT, MC Marks, MC Vine7 & MC Robs)","MC Don Juan, Mc Kako & DJ BOY",24,4850566,-9.8%,https://www.youtube.com/watch?v=Uxtgz1FU3XA,2023-09-22,2023-09-28
19,20,13.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",21,4762477,-7.5%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-09-22,2023-09-28
20,21,14.0,Fode Bem,Felipe Amorim & Mc Mika,8,4689393,-8.7%,https://www.youtube.com/watch?v=RviZfEsoT_k,2023-09-22,2023-09-28
21,22,24.0,Do Seu Lado,"Chefin, Oruam, Mainstreet & Ajaxx",8,4454247,3.6%,https://www.youtube.com/watch?v=s8EnhrR9Hxs,2023-09-22,2023-09-28
22,23,23.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,24,4414725,0.9%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-09-22,2023-09-28
23,24,26.0,Barulho Do Foguete (Ao Vivo),Zé Neto & Cristiano,13,4329294,5%,https://www.youtube.com/watch?v=7t5mi3M_lAY,2023-09-22,2023-09-28
24,25,,Daqui pra Sempre,Manu & Simone Mendes,1,4247911,,https://www.youtube.com/watch?v=2FNiAPNK4Ig,2023-09-22,2023-09-28
25,26,27.0,Tá OK,DENNIS & MC Kevin o Chris,18,4220402,2.4%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-09-22,2023-09-28
26,27,25.0,Me Atraiu (Ao Vivo),Gabriela Rocha,34,4183966,-2.1%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-09-22,2023-09-28
27,28,28.0,Leão,Marília Mendonça,42,4172048,3.9%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-09-22,2023-09-28
28,29,29.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",19,3896759,-0.2%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-09-22,2023-09-28
29,30,31.0,MOLETOM,Luan Pereira & Gustavo Mioto,13,3658539,-5.3%,https://www.youtube.com/watch?v=P4E831Xqs1c,2023-09-22,2023-09-28
30,31,33.0,Narcisista (Ao Vivo),Maiara & Maraisa,11,3543636,2.1%,https://www.youtube.com/watch?v=JvqBpWtoLqk,2023-09-22,2023-09-28
31,32,30.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",47,3482112,-10.2%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-09-22,2023-09-28
32,33,32.0,Furduncinho do Rogerinho,MC Rogerinho,5,3456313,-0.5%,https://www.youtube.com/watch?v=soy3C6mCVTk,2023-09-22,2023-09-28
33,34,40.0,Vem Quebrando,"MC Danone, DJ THG & Dj Hm Oliveira",5,3291454,14.2%,https://www.youtube.com/watch?v=vqKsHbyjjjI,2023-09-22,2023-09-28
34,35,37.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,41,3240773,4.3%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-09-22,2023-09-28
35,36,20.0,Chico,Luísa Sonza,4,3151569,-33.5%,https://www.youtube.com/watch?v=JQgH5RiGAeg,2023-09-22,2023-09-28
36,37,34.0,Sintomas de Prazer,Ludmilla,6,3088170,-10.2%,https://www.youtube.com/watch?v=rTdtvgq5kX8,2023-09-22,2023-09-28
