,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Leão,Marília Mendonça,6,23272004,34.6%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-01-13,2023-01-19
1,2,2.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",9,11404586,-1.7%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-01-13,2023-01-19
2,3,4.0,Luz do Luar,Mc Tato & Dj ak beats,6,8472623,9.8%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-01-13,2023-01-19
3,4,3.0,Felina,WIU & MC Ryan SP,17,8098924,2.1%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-01-13,2023-01-19
4,5,7.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,15,7809538,9.3%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-01-13,2023-01-19
5,6,6.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,11,7468988,1.7%,https://www.youtube.com/watch?v=t050lriI0_w,2023-01-13,2023-01-19
6,7,10.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",3,7244716,12.5%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-01-13,2023-01-19
7,8,12.0,Coração de Gelo,WIU,7,6621109,14.4%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-01-13,2023-01-19
8,9,8.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,17,6618737,-0.8%,https://www.youtube.com/watch?v=af8fdbaB8JY,2023-01-13,2023-01-19
9,10,5.0,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",6,6592630,-12%,https://www.youtube.com/watch?v=,2023-01-13,2023-01-19
10,11,9.0,Evoque Prata (Sped Up),Lali DJ,11,6180037,-6.7%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2023-01-13,2023-01-19
11,12,13.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,26,5933260,6.5%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-01-13,2023-01-19
12,13,14.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,13,5288304,2.2%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2023-01-13,2023-01-19
13,14,11.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",12,5176598,-16.4%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-01-13,2023-01-19
14,15,,Lá Ele,Tierry & Manoel Gomes,2,5130080,,https://www.youtube.com/watch?v=_KaA8W_Hov8,2023-01-13,2023-01-19
15,16,17.0,Cheiro da Karolina,Luiz Poderoso Chefão,13,4830988,3.1%,https://www.youtube.com/watch?v=9gbWg7EGFEc,2023-01-13,2023-01-19
16,17,16.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",11,4748908,1.1%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-01-13,2023-01-19
17,18,15.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,17,4664670,-7%,https://www.youtube.com/watch?v=J3H--06Xw6g,2023-01-13,2023-01-19
18,19,19.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,5,4622450,7.1%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-01-13,2023-01-19
19,20,,Papo de Agustinho,Oruam & Mainstreet,15,4306092,,https://www.youtube.com/watch?v=ysn8Ifdfry4,2023-01-13,2023-01-19
20,21,,Flowers,Miley Cyrus,1,4233567,,https://www.youtube.com/watch?v=G7KNmW9a75Y,2023-01-13,2023-01-19
21,22,18.0,Namora Aí,MC Ryan SP & Mc Daniel,6,4194550,-4.5%,https://www.youtube.com/watch?v=4HQect5dM-g,2023-01-13,2023-01-19
22,23,22.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,35,4102300,2.9%,https://www.youtube.com/watch?v=69JAoslGYI8,2023-01-13,2023-01-19
23,24,20.0,X1,MC Cabelinho & Dallass,43,4100908,0.6%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2023-01-13,2023-01-19
24,25,,SHAKIRA,Shakira & Bizarrap,1,4094252,,https://www.youtube.com/watch?v=CocEMWdc7Ck,2023-01-13,2023-01-19
25,26,27.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,5,3998467,13.7%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-01-13,2023-01-19
26,27,25.0,Seu Perfil (Ao Vivo),Henrique & Juliano,51,3772620,1%,https://www.youtube.com/watch?v=KvAagUxO3OY,2023-01-13,2023-01-19
27,28,30.0,Horas Iguais,WIU & Oruam,16,3657133,6.1%,https://www.youtube.com/watch?v=hr_83ZXhmOI,2023-01-13,2023-01-19
28,29,38.0,Coladin (Minha Deusa),Zé Vaqueiro,7,3606843,12.1%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-01-13,2023-01-19
29,30,23.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",29,3601388,-6.3%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2023-01-13,2023-01-19
30,31,24.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,28,3549601,-6.9%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2023-01-13,2023-01-19
31,32,26.0,MAMA.CITA (hasta la vista),Luísa Sonza & Xamã,4,3537248,-0.8%,https://www.youtube.com/watch?v=RuXFXp4zQlM,2023-01-13,2023-01-19
32,33,29.0,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,17,3446001,-0.2%,https://www.youtube.com/watch?v=OjZNMnmUVT4,2023-01-13,2023-01-19
33,34,37.0,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",18,3443864,4.8%,https://www.youtube.com/watch?v=1CIIIv9dfzg,2023-01-13,2023-01-19
34,35,31.0,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello & Flow Eazy",5,3443224,0.2%,https://www.youtube.com/watch?v=Kh9fYUUMK9U,2023-01-13,2023-01-19
35,36,32.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,28,3371556,-1.3%,https://www.youtube.com/watch?v=hOGuaMazCz8,2023-01-13,2023-01-19
36,37,33.0,Meca Cereja (feat. AMUSIK),"Vulgo FK, MC Cebezinho & KayBlack",11,3366727,-1%,https://www.youtube.com/watch?v=eI5FkVWz_dI,2023-01-13,2023-01-19
37,38,36.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,26,3359880,1.7%,https://www.youtube.com/watch?v=pPxs52_MVIU,2023-01-13,2023-01-19
38,39,28.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,42,3354408,-4.3%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2023-01-13,2023-01-19
39,40,40.0,Nem uma Carta pra Lembrar,Evoney Fernandes,3,3243043,6.2%,https://www.youtube.com/watch?v=bRgDFUt7Eqk,2023-01-13,2023-01-19
40,41,,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,1,3214576,,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-01-13,2023-01-19
41,42,41.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,39,3080301,5.4%,https://www.youtube.com/watch?v=psdZRggL7cI,2023-01-13,2023-01-19
42,43,39.0,Por Causa Dele (Ao Vivo),Kellen Byanca & Jessé Aguiar,26,2954767,-5%,https://www.youtube.com/watch?v=MBg5g2g3okU,2023-01-13,2023-01-19
43,44,63.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,2,2829565,45.9%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-01-13,2023-01-19
44,45,46.0,Pactos (Ao Vivo),Matheus & Kauan & Jorge & Mateus,13,2755086,2.6%,https://www.youtube.com/watch?v=jPwCxjJqHGw,2023-01-13,2023-01-19
45,46,49.0,Calm Down,Rema & Selena Gomez,7,2740250,5.3%,https://www.youtube.com/watch?v=WcIcVapfqXw,2023-01-13,2023-01-19
46,47,35.0,DONA DE MIM,Ana Castela,4,2711196,-19.1%,https://www.youtube.com/watch?v=rUW7ev79fTA,2023-01-13,2023-01-19
47,48,43.0,Toma Tapa,MC Jacaré,9,2706646,-5.2%,https://www.youtube.com/watch?v=vqHHUeEyEyU,2023-01-13,2023-01-19
48,49,,Malvada,Zé Felipe,38,2672429,,https://www.youtube.com/watch?v=r0mNwyywHIY,2023-01-13,2023-01-19
49,50,48.0,Nois É os Cara,"Mc Paiva ZS, Gabb MC, MC Kadu, Love Funk & MC Lemos",33,2650902,1.2%,https://www.youtube.com/watch?v=wumB0Qs2YT4,2023-01-13,2023-01-19
50,51,42.0,Te Love (Ao Vivo),Kevi Jonny,20,2597911,-10.6%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2023-01-13,2023-01-19
51,52,47.0,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,15,2558597,-3.1%,https://www.youtube.com/watch?v=FQgZAj45ojY,2023-01-13,2023-01-19
52,53,44.0,Balmain (feat. Caio Passos),Mc Daniel,14,2486377,-10.1%,https://www.youtube.com/watch?v=R3EAwjEn0vg,2023-01-13,2023-01-19
53,54,34.0,Bloody Mary,Lady Gaga,6,2476827,-26.9%,https://www.youtube.com/watch?v=L1p0clhjOlg,2023-01-13,2023-01-19
54,55,51.0,Maciçado,Mc Kako,5,2439182,-0.7%,https://www.youtube.com/watch?v=Em4BVubFQLc,2023-01-13,2023-01-19
