,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,10,9358967,-17.1%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-09-09,2022-09-15
1,2,2.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,17,9275830,-13.3%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-09-09,2022-09-15
2,3,3.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",11,8758368,-12.4%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-09-09,2022-09-15
3,4,4.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,10,7399328,-9.9%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-09-09,2022-09-15
4,5,6.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",15,6775806,-4.3%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-09-09,2022-09-15
5,6,5.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,24,6731661,-14.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-09-09,2022-09-15
6,7,9.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,8,6180738,3.7%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-09-09,2022-09-15
7,8,7.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,21,5899972,-11.8%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-09-09,2022-09-15
8,9,10.0,X1,MC Cabelinho & Dallass,25,5812087,-0.6%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-09-09,2022-09-15
9,10,8.0,Set Wesley Alemão,"MC Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",2,5363913,-13.4%,https://www.youtube.com/watch?v=,2022-09-09,2022-09-15
10,11,52.0,Te Love (Ao Vivo),Kevi Jonny,2,5141964,96.2%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2022-09-09,2022-09-15
11,12,14.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,35,4812632,6.5%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-09-09,2022-09-15
12,13,13.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",12,4539197,-4.7%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-09-09,2022-09-15
