,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,9,13800299,25.9%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-07-15,2022-07-21
1,2,1.0,Bandido,Zé Felipe & Mc Mari,5,10725502,-4.9%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-07-15,2022-07-21
2,3,4.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",7,10505415,9.3%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-07-15,2022-07-21
3,4,3.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,16,9634549,-0.8%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-07-15,2022-07-21
4,5,6.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,13,8674184,0.6%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-07-15,2022-07-21
5,6,5.0,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,5,8281391,-13.1%,https://www.youtube.com/watch?v=4zhowmwBCuw,2022-07-15,2022-07-21
6,7,10.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,2,7931754,20.4%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-07-15,2022-07-21
7,8,89.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,2,7870194,339.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-07-15,2022-07-21
8,9,7.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,19,6486915,-16%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-07-15,2022-07-21
9,10,8.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,14,6269365,-14.7%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-07-15,2022-07-21
10,11,11.0,Intuição (Ao Vivo),Mari Fernandez,11,6206593,-1.9%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-07-15,2022-07-21
11,12,14.0,X1,MC Cabelinho & Dallass,17,5967295,7.3%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-07-15,2022-07-21
12,13,12.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",17,5943524,-5.3%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-07-15,2022-07-21
13,14,,CACHORRINHAS,Luísa Sonza,1,5393253,,https://www.youtube.com/watch?v=__ur8Ykcivw,2022-07-15,2022-07-21
14,15,25.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",3,5160998,18.8%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-07-15,2022-07-21
