,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Felina,WIU & MC Ryan SP,8,8835952,3.7%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2022-11-11,2022-11-17
1,2,2.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,8,8467170,1.3%,https://www.youtube.com/watch?v=af8fdbaB8JY,2022-11-11,2022-11-17
2,3,3.0,Alemãozin,Oruam,7,8141488,0.6%,https://www.youtube.com/watch?v=rALK230exU0,2022-11-11,2022-11-17
3,4,4.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",3,7410667,8.6%,https://www.youtube.com/watch?v=24lfgigKHqQ,2022-11-11,2022-11-17
4,5,6.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,8,7120276,12.1%,https://www.youtube.com/watch?v=J3H--06Xw6g,2022-11-11,2022-11-17
5,6,9.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,6,6846551,23.8%,https://www.youtube.com/watch?v=uBc1wkTMywM,2022-11-11,2022-11-17
6,7,7.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,19,6624588,10.4%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2022-11-11,2022-11-17
7,8,5.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,17,6219425,-8.4%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2022-11-11,2022-11-17
8,9,8.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",20,6215282,3.8%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2022-11-11,2022-11-17
9,10,13.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,44,5944599,23.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-11-11,2022-11-17
10,11,10.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,26,5604611,2.4%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-11-11,2022-11-17
11,12,14.0,Fala Mal de Mim (Ao Vivo),Gusttavo Lima,19,5388071,13.5%,https://www.youtube.com/watch?v=hOGuaMazCz8,2022-11-11,2022-11-17
12,13,15.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,30,5163838,16.5%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-11-11,2022-11-17
13,14,18.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,2,5152116,23.8%,https://www.youtube.com/watch?v=t050lriI0_w,2022-11-11,2022-11-17
14,15,12.0,X1,MC Cabelinho & Dallass,34,5129238,3.7%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-11-11,2022-11-17
15,16,36.0,Evoque Prata (Sped Up),Lali DJ,2,5092947,77.6%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2022-11-11,2022-11-17
16,17,11.0,Te Love (Ao Vivo),Kevi Jonny,11,4904100,-2.9%,https://www.youtube.com/watch?v=vBQbH4mA_z0,2022-11-11,2022-11-17
17,18,17.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,4,4854717,12.6%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2022-11-11,2022-11-17
18,19,24.0,Ô Lá na Roça (Ao Vivo),Felipe & Murillo & Ana Castela,17,4632270,25.4%,https://www.youtube.com/watch?v=pPxs52_MVIU,2022-11-11,2022-11-17
19,20,21.0,Giro Loko,"DJ BOY, MC Joãozinho VT, MC Ryan SP, MC Tuto, Mc Kadu, Mc Kanhoto & MC Magal",9,4589468,12.2%,https://www.youtube.com/watch?v=1CIIIv9dfzg,2022-11-11,2022-11-17
20,21,23.0,Set Wesley Alemão,"MC Lipi , MC Paulin da Capital, MC Lemos, Gabb MC, Mc Paiva ZS, MC Lele JP, Mc Piedro & MC Ryan SP",11,4066887,8.2%,https://www.youtube.com/watch?v=,2022-11-11,2022-11-17
21,22,20.0,NÉ SEGREDO,MC Cabelinho,9,4026160,-2.8%,https://www.youtube.com/watch?v=GqLrlHHeww0,2022-11-11,2022-11-17
22,23,22.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,33,3993025,2.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-11-11,2022-11-17
23,24,32.0,Tubarão Te Amo (feat. Mc Jhenny & MC RF),"Dj LK da Escócia, Tchakabum & MC Ryan SP",5,3924997,28.9%,https://www.youtube.com/watch?v=tBdx1b40rfU,2022-11-11,2022-11-17
24,25,26.0,Esperando Você / Mundo Inteiro (Ao Vivo),João Gomes & Yara Tchê,6,3750772,6.9%,https://www.youtube.com/watch?v=FQgZAj45ojY,2022-11-11,2022-11-17
25,26,27.0,Doce Veneno,"Mc Paiva ZS, Love Funk & Kotim",16,3627713,4.6%,https://www.youtube.com/watch?v=thfYx-W63ws,2022-11-11,2022-11-17
