,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,2.0,Leão,Marília Mendonça,5,17289640,102.2%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-01-06,2023-01-12
1,2,1.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",8,11601845,-9.6%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-01-06,2023-01-12
2,3,5.0,Felina,WIU & MC Ryan SP,16,7933958,-2.3%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-01-06,2023-01-12
3,4,11.0,Luz do Luar,Mc Tato & Dj ak beats,5,7718662,30.6%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-01-06,2023-01-12
4,5,8.0,Agudo Mágico 3 (feat. Mc Lipivox),"Dj Tg Beats, Dj Aurélio & mc k.k",5,7487605,11.4%,https://www.youtube.com/watch?v=,2023-01-06,2023-01-12
5,6,3.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,10,7346803,-12%,https://www.youtube.com/watch?v=t050lriI0_w,2023-01-06,2023-01-12
6,7,4.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,14,7143585,-12.3%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-01-06,2023-01-12
7,8,7.0,Eu Gosto Assim (Ao Vivo),Gustavo Mioto & Mari Fernandez,16,6669435,-3.9%,https://www.youtube.com/watch?v=af8fdbaB8JY,2023-01-06,2023-01-12
8,9,6.0,Evoque Prata (Sped Up),Lali DJ,10,6620477,-18.2%,https://www.youtube.com/watch?v=B4dmw3CfYtY,2023-01-06,2023-01-12
9,10,19.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",2,6440577,34.2%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-01-06,2023-01-12
10,11,18.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",11,6191644,28.3%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-01-06,2023-01-12
11,12,24.0,Coração de Gelo,WIU,6,5785932,32.4%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-01-06,2023-01-12
12,13,10.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,25,5571201,-6.8%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-01-06,2023-01-12
13,14,14.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,12,5176531,-7.3%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2023-01-06,2023-01-12
14,15,9.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,16,5015646,-19.9%,https://www.youtube.com/watch?v=J3H--06Xw6g,2023-01-06,2023-01-12
15,16,25.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",10,4698985,8.6%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-01-06,2023-01-12
16,17,12.0,Cheiro da Karolina,Luiz Poderoso Chefão,12,4686065,-20.3%,https://www.youtube.com/watch?v=9gbWg7EGFEc,2023-01-06,2023-01-12
17,18,32.0,Namora Aí,MC Ryan SP & Mc Daniel,5,4391669,23.3%,https://www.youtube.com/watch?v=4HQect5dM-g,2023-01-06,2023-01-12
18,19,23.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,4,4315107,-1.7%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-01-06,2023-01-12
19,20,22.0,X1,MC Cabelinho & Dallass,42,4078237,-7.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2023-01-06,2023-01-12
20,21,17.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,52,4041523,-16.7%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2023-01-06,2023-01-12
21,22,16.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,34,3985807,-22.4%,https://www.youtube.com/watch?v=69JAoslGYI8,2023-01-06,2023-01-12
22,23,20.0,Casei Com a Putaria (feat. Love Funk),"Mc Paiva ZS, MC Ryan SP & Love Funk",28,3842653,-15.9%,https://www.youtube.com/watch?v=8NjXVsLHIg8,2023-01-06,2023-01-12
23,24,13.0,Tem Cabaré Essa Noite,Nivaldo Marques & NATTAN,27,3810772,-34.7%,https://www.youtube.com/watch?v=WiNYFwIfg4w,2023-01-06,2023-01-12
24,25,27.0,Seu Perfil (Ao Vivo),Henrique & Juliano,50,3736013,-7.1%,https://www.youtube.com/watch?v=KvAagUxO3OY,2023-01-06,2023-01-12
25,26,50.0,MAMA.CITA (hasta la vista),Luísa Sonza & Xamã,3,3565600,29.1%,https://www.youtube.com/watch?v=RuXFXp4zQlM,2023-01-06,2023-01-12
26,27,48.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,4,3516844,21.6%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-01-06,2023-01-12
27,28,26.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,41,3506283,-14.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2023-01-06,2023-01-12
28,29,36.0,Assunto Delicado (Ao Vivo),Guilherme & Benuto & Xand Avião,16,3452586,1.1%,https://www.youtube.com/watch?v=OjZNMnmUVT4,2023-01-06,2023-01-12
29,30,45.0,Horas Iguais,WIU & Oruam,15,3446916,14%,https://www.youtube.com/watch?v=hr_83ZXhmOI,2023-01-06,2023-01-12
30,31,38.0,FOGO E GASOLINA,"MC Cabelinho, Cyclope Beatz & Mello & Flow Eazy",4,3435696,4.9%,https://www.youtube.com/watch?v=Kh9fYUUMK9U,2023-01-06,2023-01-12
