,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Halls na Língua,Kadu Martins,8,10112808,-2.9%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-07-28,2023-08-03
1,2,2.0,Ballena,"Vulgo FK, Pedro Lotto & Veigh",3,8852174,-2.2%,https://www.youtube.com/watch?v=0nHHZZRYNf4,2023-07-28,2023-08-03
2,3,9.0,Solteiro Forçado (Boiadeira Internacional),Ana Castela,4,8482869,19.1%,https://www.youtube.com/watch?v=f58W_FVXBLg,2023-07-28,2023-08-03
3,4,35.0,Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris & Dj Nk Da Serra,2,8177035,136.8%,https://www.youtube.com/watch?v=,2023-07-28,2023-08-03
4,5,4.0,Nosso Quadro,Ana Castela,26,7906900,-5.5%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-07-28,2023-08-03
5,6,6.0,Erro Gostoso (Ao Vivo),Simone Mendes,27,7753455,3.3%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-07-28,2023-08-03
6,7,7.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,21,7613668,1.6%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-07-28,2023-08-03
7,8,5.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,24,7553273,-1.4%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-07-28,2023-08-03
8,9,3.0,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho & DJ 900,7,7465849,-12.6%,https://www.youtube.com/watch?v=1DGsclIrgBE,2023-07-28,2023-08-03
9,10,8.0,MOLETOM,Luan Pereira & Gustavo Mioto,5,7289349,1.4%,https://www.youtube.com/watch?v=P4E831Xqs1c,2023-07-28,2023-08-03
10,11,10.0,Tá OK,DENNIS & MC Kevin o Chris,10,6488812,0.7%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-07-28,2023-08-03
11,12,76.0,Vem Morenin,Neno No Beat & Mc Rica,2,6173338,227.5%,https://www.youtube.com/watch?v=xAIeAgcbhRQ,2023-07-28,2023-08-03
12,13,11.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",11,6112932,-2.8%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-07-28,2023-08-03
