,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Bandido,Zé Felipe & Mc Mari,3,14244539,-7.4%,https://www.youtube.com/watch?v=YxGYumo6tpU,2022-07-01,2022-07-07
1,2,2.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,14,9668901,3.1%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-07-01,2022-07-07
2,3,8.0,Baile no Morro,MC Tairon & Mc Vitin da Igrejinha,3,9078705,37.1%,https://www.youtube.com/watch?v=4zhowmwBCuw,2022-07-01,2022-07-07
3,4,11.0,Ai Preto,"L7NNON, DJ Biel do Furduncinho & Bianca",5,8228065,52.5%,https://www.youtube.com/watch?v=NbB6qMA2lts,2022-07-01,2022-07-07
4,5,7.0,Comunicação Falhou (Ao Vivo),Mari Fernandez & NATTAN,11,8011535,18.5%,https://www.youtube.com/watch?v=psdZRggL7cI,2022-07-01,2022-07-07
5,6,3.0,Tchuco Nela,MC Rogerinho & Wesley Safadão,12,7990986,-4.6%,https://www.youtube.com/watch?v=dEjA3uw5s3I,2022-07-01,2022-07-07
6,7,4.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,17,7787699,-0.7%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-07-01,2022-07-07
7,8,5.0,Áudio Que Te Entrega,"Léo Santana, MC Don Juan & Mari Fernandez",15,7437366,-0.8%,https://www.youtube.com/watch?v=b7A98jz4uUA,2022-07-01,2022-07-07
8,9,16.0,"Pipoco (feat. Melody, Dj Chris No Beat & Luan Pereira & Dj Chris No Beat)",Ana Castela,7,6790177,31.4%,https://www.youtube.com/watch?v=69JAoslGYI8,2022-07-01,2022-07-07
9,10,9.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,51,6434715,3.5%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-07-01,2022-07-07
10,11,6.0,Tu Tava Na Revoada,Wesley Safadão,7,5918294,-13.9%,https://www.youtube.com/watch?v=GmlBAosY3V0,2022-07-01,2022-07-07
11,12,,Tudo porque você mentiu / penhasco / De rolê / CAFÉ DA MANHÃ ;P / Doutora 3 (Ao Vivo),Ludmilla & Luísa Sonza,1,5880877,,https://www.youtube.com/watch?v=1OC6L-ekUXU,2022-07-01,2022-07-07
12,13,13.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",19,5688412,8.4%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-07-01,2022-07-07
13,14,18.0,Intuição (Ao Vivo),Mari Fernandez,9,5663688,14%,https://www.youtube.com/watch?v=rfkXgby-xn0,2022-07-01,2022-07-07
14,15,23.0,X1,MC Cabelinho & Dallass,15,5402255,12.4%,https://www.youtube.com/watch?v=zgdQsLH7sDw,2022-07-01,2022-07-07
15,16,12.0,Me Chama de Amor (feat. Mc Treyce) (feat. Mc Treyce),O Tubarão,13,5059928,-5.4%,https://www.youtube.com/watch?v=J9AfRmtdqGs,2022-07-01,2022-07-07
16,17,21.0,Vampiro,"Matuê, WIU & Teto",14,5036081,3.5%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-07-01,2022-07-07
17,18,10.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,22,5005575,-13.6%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-07-01,2022-07-07
18,19,14.0,Bloqueado (Ao Vivo),Gusttavo Lima,32,4975843,-4.7%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-07-01,2022-07-07
19,20,15.0,Malvada,Zé Felipe,23,4886527,-5.7%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-07-01,2022-07-07
20,21,24.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",14,4809474,2.2%,https://www.youtube.com/watch?v=273pasBKH18,2022-07-01,2022-07-07
21,22,19.0,Pras Novinha (feat. DJ Pedrin),"Mc Livinho, Dj LK da Escócia & DJ Breno",4,4763966,-3.9%,https://www.youtube.com/watch?v=vGBJmgZSeRc,2022-07-01,2022-07-07
22,23,26.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,25,4686004,3.1%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-07-01,2022-07-07
23,24,20.0,O Poder Dessa Garota,"Mc Gabzin, DJ TAK VADIÃO & dj sv",12,4611303,-5.6%,https://www.youtube.com/watch?v=L2_xh-r10OI,2022-07-01,2022-07-07
24,25,22.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,44,4515179,-6.2%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-07-01,2022-07-07
25,26,27.0,No Ouvidinho,Felipe Amorim,15,4433144,0.2%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-07-01,2022-07-07
26,27,56.0,O Fim é Triste (feat. DJ BOY),MC Hariel,3,4128521,57.4%,https://www.youtube.com/watch?v=BZ-9iYlDpXc,2022-07-01,2022-07-07
27,28,31.0,Só de Imaginar (Ao Vivo),Mari Fernandez & Zé Vaqueiro,10,4114099,5.9%,https://www.youtube.com/watch?v=OnYr3TisCcg,2022-07-01,2022-07-07
28,29,84.0,Set Tatuapé Conceito 2,"MC Joãozinho VT, DJ BOY, Dj GM, Mc Kako, MC Ryan SP, MC GP, Mc Erik & Dj GM",2,4099011,147.8%,https://www.youtube.com/watch?v=nbTAKkjnV_Q,2022-07-01,2022-07-07
29,30,17.0,Dengo (Ao Vivo),João Gomes,9,4088648,-17.9%,https://www.youtube.com/watch?v=mqYjyQG11GQ,2022-07-01,2022-07-07
30,31,29.0,Seu Perfil (Ao Vivo),Henrique & Juliano,23,4041943,-0.7%,https://www.youtube.com/watch?v=KvAagUxO3OY,2022-07-01,2022-07-07
31,32,28.0,Fim de Semana no Rio,Teto,15,3993432,-5.8%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-07-01,2022-07-07
32,33,25.0,Não Pega Ninguém Ainda (Ao Vivo),Gusttavo Lima,5,3988363,-12.5%,https://www.youtube.com/watch?v=y3FdInN6n48,2022-07-01,2022-07-07
33,34,38.0,Joga Essa Rabeta,MC Skcot & MC Teuzin PV,6,3673194,15.4%,https://www.youtube.com/watch?v=pIr6TjG7Rko,2022-07-01,2022-07-07
