,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,3.0,Nosso Quadro,Ana Castela,22,8441462,-7.9%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-06-30,2023-07-06
1,2,4.0,Halls na Língua,Kadu Martins,4,8091953,7.1%,https://www.youtube.com/watch?v=HPM7OWuchFs,2023-06-30,2023-07-06
2,3,2.0,Tá OK,DENNIS & MC Kevin o Chris,6,7780268,-17.2%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-06-30,2023-07-06
3,4,,MOLETOM,Luan Pereira & Gustavo Mioto,1,7446130,,https://www.youtube.com/watch?v=P4E831Xqs1c,2023-06-30,2023-07-06
4,5,13.0,"Gol Bolinha, Gol Quadrado 2",MC Pedrinho & DJ 900,3,7208152,30.2%,https://www.youtube.com/watch?v=1DGsclIrgBE,2023-06-30,2023-07-06
5,6,1.0,Erro Gostoso (Ao Vivo),Simone Mendes,23,7091085,-28.6%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-06-30,2023-07-06
6,7,5.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,17,7036420,-4.7%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-06-30,2023-07-06
7,8,8.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",9,6764442,10.3%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-06-30,2023-07-06
8,9,7.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,20,6403108,-11.2%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-06-30,2023-07-06
9,10,6.0,Posturado E Calmo,Léo Santana,4,6365259,-13.1%,https://www.youtube.com/watch?v=FtHBS6WLsfo,2023-06-30,2023-07-06
10,11,11.0,Vai Novinha An An An,"--, Dyamante DJ  & --",2,5557951,-0.7%,https://www.youtube.com/watch?v=MB5bJUUywKw,2023-06-30,2023-07-06
11,12,9.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",7,5487994,-5.5%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-06-30,2023-07-06
12,13,14.0,Me Atraiu (Ao Vivo),Gabriela Rocha,22,5358910,5.5%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-06-30,2023-07-06
13,14,51.0,Novidade na Área,Mc Livinho,2,5175185,94.8%,https://www.youtube.com/watch?v=8zWuVDqmCEQ,2023-06-30,2023-07-06
14,15,21.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",35,5001785,16%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-06-30,2023-07-06
15,16,12.0,Leão,Marília Mendonça,30,4955742,-10.5%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-06-30,2023-07-06
16,17,24.0,"Banco do Carona (feat. Gabb MC, MC Joãozinho VT, MC Marks, MC Vine7 & MC Robs)","MC Don Juan, Mc Kako & DJ BOY",12,4824145,20.8%,https://www.youtube.com/watch?v=Uxtgz1FU3XA,2023-06-30,2023-07-06
17,18,17.0,Engana Dizendo Que Ama,"Veigh, Tz da Coronel, Toledo, Bvga Beatz, Supernova Ent & Nagalli",7,4758275,0.2%,https://www.youtube.com/watch?v=4Qta7cMSXc4,2023-06-30,2023-07-06
18,19,20.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,12,4609784,5.6%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-06-30,2023-07-06
19,20,10.0,Pitbull Enraivado,Oh Polêmico,11,4435939,-20.9%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-06-30,2023-07-06
20,21,28.0,01 Não É 02,"Mc Paiva ZS, Love Funk & Dj ak beats",2,4217955,21.4%,https://www.youtube.com/watch?v=F1r31jw_HdY,2023-06-30,2023-07-06
21,22,18.0,Cartão Black,MC Caverinha & KayBlack,8,3992148,-15.8%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-06-30,2023-07-06
22,23,16.0,Pátio do Posto (Ao Vivo),Zé Neto & Cristiano,19,3968130,-17.8%,https://www.youtube.com/watch?v=6RTg7ovfaLk,2023-06-30,2023-07-06
23,24,39.0,ELA PIROU NA DODGE RAM,Luan Pereira & MC Ryan SP,16,3820606,19.4%,https://www.youtube.com/watch?v=eGpIwanODHw,2023-06-30,2023-07-06
24,25,23.0,Deixa,Maria Marçal,15,3729839,-6.6%,https://www.youtube.com/watch?v=93TXfW3MT4o,2023-06-30,2023-07-06
