,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,7.0,Zona De Perigo,Léo Santana,2,23630007,248.6%,https://www.youtube.com/watch?v=0cnUcoXllMM,2023-02-03,2023-02-09
1,2,1.0,Leão,Marília Mendonça,9,19285244,-5.1%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-02-03,2023-02-09
2,3,2.0,Roça Em Mim,"Zé Felipe, Ana Castela & Luan Pereira",12,10241301,-2%,https://www.youtube.com/watch?v=5fI3cK7iDeg,2023-02-03,2023-02-09
3,4,,Facilita Aí,Zé Felipe,1,10109093,,https://www.youtube.com/watch?v=u8PI0ASpG4U,2023-02-03,2023-02-09
4,5,4.0,Coração de Gelo,WIU,10,8788308,4.8%,https://www.youtube.com/watch?v=p03BWB5SN4M,2023-02-03,2023-02-09
5,6,3.0,Luz do Luar,Mc Tato & Dj ak beats,9,8391776,-8%,https://www.youtube.com/watch?v=P5AnIr0_6tw,2023-02-03,2023-02-09
6,7,6.0,Felina,WIU & MC Ryan SP,20,7279139,2%,https://www.youtube.com/watch?v=wFBp_PHXrf4,2023-02-03,2023-02-09
7,8,5.0,Pega o Guanabara (Ao Vivo),Wesley Safadão & Alanzim Coreano,18,7023764,-4.8%,https://www.youtube.com/watch?v=uBc1wkTMywM,2023-02-03,2023-02-09
8,9,8.0,Parecia Tempestade (feat. MC Danny),SONY NO BEAT & felupe,8,6457203,-2.1%,https://www.youtube.com/watch?v=vsAPYtF50VI,2023-02-03,2023-02-09
9,10,11.0,Bombonzinho (Ao Vivo),Israel & Rodolffo & Ana Castela,14,5932364,-4.6%,https://www.youtube.com/watch?v=t050lriI0_w,2023-02-03,2023-02-09
10,11,10.0,Puta Mexicana,"DJ Jeeh FDC, MC Menor MT, Yuri Redicopa & Mc Pelé",6,5800069,-8.3%,https://www.youtube.com/watch?v=Z8HNDfY3ba4,2023-02-03,2023-02-09
11,12,9.0,Sereia,"Orochi, MC Ryan SP, Oruam & Xamã",15,5608477,-14.1%,https://www.youtube.com/watch?v=24lfgigKHqQ,2023-02-03,2023-02-09
12,13,12.0,Bokaloka,"DJ BOY, Mc Kako, MC Joãozinho VT, MC Tuto, MC V7, Mc Erik, Mc Pê Leal, MC Vine7 & MC Don Juan",14,5520848,1.5%,https://www.youtube.com/watch?v=BBUdg9S4Ii4,2023-02-03,2023-02-09
13,14,13.0,Lá Ele,Tierry & Manoel Gomes,5,5496864,4.2%,https://www.youtube.com/watch?v=_KaA8W_Hov8,2023-02-03,2023-02-09
14,15,30.0,Erro Gostoso (Ao Vivo),Simone Mendes,2,5447660,45.4%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-02-03,2023-02-09
15,16,17.0,A Culpa É Nossa (Ao Vivo),Maiara & Maraisa,8,5286807,11%,https://www.youtube.com/watch?v=sOgYk0iXNls,2023-02-03,2023-02-09
16,17,19.0,Palhaça (Ao Vivo),Naiara Azevedo & Ana Castela,4,5063141,7.9%,https://www.youtube.com/watch?v=29WR7F4TDUI,2023-02-03,2023-02-09
17,18,29.0,Love Gostosinho (Ao Vivo),NATTAN & Felipe Amorim,5,4978000,31.9%,https://www.youtube.com/watch?v=6kiJt7WTTM4,2023-02-03,2023-02-09
18,19,14.0,Namora Aí,MC Ryan SP & Mc Daniel,9,4850537,-3.9%,https://www.youtube.com/watch?v=4HQect5dM-g,2023-02-03,2023-02-09
19,20,16.0,Coladin (Minha Deusa),Zé Vaqueiro,10,4809572,-1.7%,https://www.youtube.com/watch?v=eihpkV7KSKo,2023-02-03,2023-02-09
20,21,32.0,Deixa eu botar meu boneco (Baile do Polly 2.0),Oh Polêmico,5,4596972,25.8%,https://www.youtube.com/watch?v=_xl7YEj7IBM,2023-02-03,2023-02-09
21,22,15.0,Haja Colírio (Ao Vivo) (feat. Hugo & Guilherme),Guilherme & Benuto,29,4541982,-9.7%,https://www.youtube.com/watch?v=qjxNM9qF3LA,2023-02-03,2023-02-09
22,23,20.0,Novinha do Onlyfans (Tchan Ran Tchan Tchan),Kadu Martins,16,4539408,-2.8%,https://www.youtube.com/watch?v=vdbhKBGbsVM,2023-02-03,2023-02-09
23,24,,Nosso Quadro,Ana Castela,1,4178783,,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-02-03,2023-02-09
24,25,24.0,Farra 100 Limite (Live),Deavele Santos & Wesley Safadão,20,4083801,-2.4%,https://www.youtube.com/watch?v=J3H--06Xw6g,2023-02-03,2023-02-09
