,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,3.0,Tá OK,DENNIS & MC Kevin o Chris,3,9498815,-7.2%,https://www.youtube.com/watch?v=aHBW_Nd_z8k,2023-06-09,2023-06-15
1,2,1.0,Nosso Quadro,Ana Castela,19,9467285,-26.8%,https://www.youtube.com/watch?v=r9GrcxTGNWg,2023-06-09,2023-06-15
2,3,2.0,Erro Gostoso (Ao Vivo),Simone Mendes,20,8771684,-24.9%,https://www.youtube.com/watch?v=mr09lDl_Tfk,2023-06-09,2023-06-15
3,4,4.0,Seu Brilho Sumiu (Ao Vivo),Israel & Rodolffo & Mari Fernandez,14,6920572,-26%,https://www.youtube.com/watch?v=bHT5GvYi6io,2023-06-09,2023-06-15
4,5,5.0,Oi Balde (Ao Vivo),Zé Neto & Cristiano,17,6210934,-31.5%,https://www.youtube.com/watch?v=HK7bSTeQw6U,2023-06-09,2023-06-15
5,6,6.0,Cartão Black,MC Caverinha & KayBlack,5,5660819,-17.7%,https://www.youtube.com/watch?v=OZgQnRcGZXs,2023-06-09,2023-06-15
6,7,15.0,"Set Dj Boy 3.0 (feat. Mc Kako, MC Hariel, MC Tuto, MC Marks & MC Vine7)","DJ BOY, MC Don Juan & MC Joãozinho VT",6,5590056,8.4%,https://www.youtube.com/watch?v=CWDZF7aJmjE,2023-06-09,2023-06-15
7,8,7.0,Pitbull Enraivado,Oh Polêmico,8,5476922,-17.2%,https://www.youtube.com/watch?v=XzaJWAL2Ks4,2023-06-09,2023-06-15
8,9,23.0,Novo Balanço,"Veigh, Bvga Beatz, -- & Supernova Ent",4,5119311,23.9%,https://www.youtube.com/watch?v=fEUCYAd0KGM,2023-06-09,2023-06-15
9,10,13.0,Me Atraiu (Ao Vivo),Gabriela Rocha,19,5044725,-8.3%,https://www.youtube.com/watch?v=Z6cONvRUFZQ,2023-06-09,2023-06-15
10,11,8.0,Leão,Marília Mendonça,27,5005558,-22.8%,https://www.youtube.com/watch?v=tI55Zu9uZEM,2023-06-09,2023-06-15
11,12,11.0,Desejo Imortal (It Must Have Been Love) [Ao Vivo],Gusttavo Lima,9,4940174,-18.5%,https://www.youtube.com/watch?v=-UUe7g8-E0k,2023-06-09,2023-06-15
