,Rank,Previous Rank,Track Name,Artist Names,Weeks on Chart,Views,Weekly Growth,YouTube URL,week_open,week_close
0,1,1.0,Sentadona (Remix),"Davi Kneip, Mc Frog, Dj Gabriel do Borel & Luísa Sonza",8,11103100,-13.5%,https://www.youtube.com/watch?v=VKaLjHZJ-GY,2022-04-15,2022-04-21
1,2,8.0,No Ouvidinho,Felipe Amorim,4,10270462,17%,https://www.youtube.com/watch?v=eYuI4krrKBM,2022-04-15,2022-04-21
2,3,5.0,Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),"L7NNON, Os Hawaianos & DJ Bel da CDD",3,9889866,5.2%,https://www.youtube.com/watch?v=273pasBKH18,2022-04-15,2022-04-21
3,4,3.0,Balanço Da Rede (Ao Vivo),Matheus Fernandes,6,9670115,0%,https://www.youtube.com/watch?v=vAM1xXdRnH0,2022-04-15,2022-04-21
4,5,4.0,Termina Comigo Antes (Ao Vivo),Gusttavo Lima,3,8635986,-8.6%,https://www.youtube.com/watch?v=rTJSWmgbVwA,2022-04-15,2022-04-21
5,6,2.0,Malvada,Zé Felipe,12,8607050,-12.4%,https://www.youtube.com/watch?v=r0mNwyywHIY,2022-04-15,2022-04-21
6,7,6.0,Vampiro,"Matuê, WIU & Teto",3,7992891,-11.6%,https://www.youtube.com/watch?v=TKqa-ZXGKYA,2022-04-15,2022-04-21
7,8,9.0,Fim de Semana no Rio,Teto,4,7678974,-7.2%,https://www.youtube.com/watch?v=7AlAYttGnAg,2022-04-15,2022-04-21
8,9,10.0,Bloqueado (Ao Vivo),Gusttavo Lima,21,7333385,-5.1%,https://www.youtube.com/watch?v=14C28JSO-sg,2022-04-15,2022-04-21
9,10,11.0,Cê Tá Preparada (Ao Vivo) (feat. Marília Mendonça),Tayrone,40,7131476,-4.5%,https://www.youtube.com/watch?v=jW7j41mbxXU,2022-04-15,2022-04-21
10,11,18.0,A Maior Saudade (Ao Vivo),Henrique & Juliano,33,6858196,30.6%,https://www.youtube.com/watch?v=6EGg0_l-edc,2022-04-15,2022-04-21
11,12,,ERRO PLANEJADO (Ao Vivo),Luan Santana & Henrique & Juliano,1,6733099,,https://www.youtube.com/watch?v=apPxQOfh0ek,2022-04-15,2022-04-21
12,13,13.0,Mal Feito (Ao Vivo),Hugo & Guilherme & Marília Mendonça,14,6477567,0.4%,https://www.youtube.com/watch?v=kyfXEMqvLgU,2022-04-15,2022-04-21
13,14,12.0,Malvadão 3,Xamã,18,6147052,-7.2%,https://www.youtube.com/watch?v=i9NOkjmBszo,2022-04-15,2022-04-21
14,15,14.0,DANÇARINA (Remix),PEDRO SAMPAIO & MC Pedrinho,11,5897219,-7.4%,https://www.youtube.com/watch?v=I_gwjhvXxzM,2022-04-15,2022-04-21
15,16,16.0,Vontade De Morder,Simone & Simaria & Zé Felipe,14,5706287,-3%,https://www.youtube.com/watch?v=bgf18kANm_k,2022-04-15,2022-04-21
16,17,7.0,Botadinha Saliente,MC Rogerinho,11,5571253,-38.3%,https://www.youtube.com/watch?v=kyjtx28z-bE,2022-04-15,2022-04-21
17,18,17.0,Ameaça,"Paulo Pires, MC Danny & Marcynho Sensação",26,5252996,-2.3%,https://www.youtube.com/watch?v=TNIbXs_iNq8,2022-04-15,2022-04-21
